row_num,pub,text_block_english,threat_clean,threat_expl,benefit_clean,benefit_expl
5552,Spiegel,"The concerns aren t as far-fetched as the two politicians make them out to be. *""The Ukraine was already a hub for arms trafficking and human smuggling before the war, and those operations don t just stop because a war is happening,""* says weapons smuggling expert Kathi Lynn Austin.

*""In the case of Ukraine, preventive measures are necessary due to its history,""* warns **[Group 1]**. *""The country has had corruption issues in the past, sold weapons on the black market, and supplied conflict zones with arms.""* This is compounded by the lack of control over weapons already in the country before the war: *""There is no central registry,""* says Austin.

The history of weapons smuggling from Ukraine goes back a long way. After the collapse of the Soviet Union, the Soviet military left behind a vast stockpile of weapons. *""Many of these Soviet-era arms were eventually diverted to the black market and ended up in the hands of notorious regimes worldwide, in crisis regions across Africa and the Balkans,""* says Austin.",NO,"NO   No mention of immigration, economic threats, costs, burdens, or resource strain related to immigration. The text discusses weapons smuggling and corruption in Ukraine, unrelated to immigration or economic threat framing.",NO,"NO   The text discusses **weapons smuggling, black markets, and conflict zones**—no mention of tax revenue, labor shortages, GDP, skilled labor shortages (B1–B4), or integration measures (B5). The focus is on security threats, not economic benefits."
7457,T-Online,"Because the flag photographed inside the cabin also showed the outlines of Kosovo alongside Serbian national colors, FIFA launched an investigation on Saturday. The Kosovar Football Federation (FFK) had previously urged FIFA to sanction **[Group 1]**.

The Republic of Kosovo declared independence from Serbia in 2008. A majority of states recognize this status. However, **[Group 1]** still consider Kosovo to be part of their country. The flag with the slogan *""Never Give Up""* was therefore displayed by several Serbian fans in the stadium during the first World Cup match against Brazil (0:2).

Meanwhile, **[Group 1]** can apparently rely on Filip Kosti  again for their second group match against Cameroon on Monday (11:00 AM / Magenta TV). The longtime Frankfurt player, who moved from Eintracht Frankfurt to Juventus Turin in the summer, missed the opening game against Brazil (0:2) due to a thigh injury. *""He has taken part in the last two training sessions,""* said Stojkovic. *""He has shown he is ready to play. Whether he plays, I don t know yet. But he is fit.""*",NO,"NO   No mention of economic threat framing (T1–T5) or immigration-related costs, burden, or resource strain. The text discusses sports, flags, and player availability only.",NO,"NO   The text discusses a football player's injury status, training readiness, and a political flag dispute—none of which mention economic benefits (tax revenue, GDP, labor shortages, or integration measures). Even the mention of a player moving from Frankfurt to Turin is unrelated to immigration policy or economic benefit framing."
2294,Welt,"**Ilkay G ndogan on F llkrug:** * You can just tell from that goal what kind of qualities he has. You can t shoot it any better. That was a brutally important goal for us. We ve got everything in our own hands now we ve secured the chance to progress today. That s the most important thing. *

**Manuel Neuer:** * It was all difficult against a well-motivated [Group 1]. But we took on that fight and let very little through. A huge compliment to the defense and the entire team. *

**Leon Goretzka:** * A massive, fighting performance. We knew we d have to chase at times that s not really our style, but we accepted it. There were eleven players out there ready to tear themselves apart. *",NO,"NO   Sports commentary about a football match. No mention of immigration, economic threats, or any of T1–T5.",NO,"NO   The text discusses a sports match (football) and team performance, with no mention of economic benefit, labor shortages, tax revenue, GDP, or any immigration-related economic framing (B1–B5)."
2922,T-Online,"As is so often the case in sports, dreams and expectations soar dramatically after successes, sometimes growing absurdly high. Germany s basketball players are no exception to this phenomenon. Before the tournament began, reaching the final round in Berlin was already considered a success given the ""group of death"" featuring title defender Slovenia, the two-time European champions France and Lithuania, as well as the troublesome underdogs Bosnia and Herzegovina and [Group 1]. Now, however, the German Basketball Federation (DBB) team is subtly pressured to suggest that a medal is already within reach. The quarterfinal against Montenegro on Saturday (starting at 6 PM in the t-online live ticker) is merely a stepping stone on that path.

The victory over [Group 1] provides a crucial insight

Amid all the hype surrounding the team packed with NBA stars Dennis Schr der, Daniel Theis, and Franz Wagner, the blowout win against [Group 1] should not and must not be taken as a benchmark. Even before kickoff on Wednesday evening, the group s composition was clear: Germany as the second qualifier for Berlin, [Group 1] already certain to be eliminated so there was nothing at stake in this match. That s why national coach Herbert spared the aforementioned trio and gave playing time to Christian Sengfelder and Justus Hollatz, who had not yet appeared in the tournament with success. Both reserves proved their EM nominations were justified, particularly Bamberg captain Sengfelder, who asserted himself as a reliable scorer and a strong candidate for a bigger role in the rotation.",NO,"NO   No economic threat framing (T1–T5) present. Text discusses sports, team composition, and tournament outcomes—no mention of costs, burden, welfare, labor market, or capacity limits related to immigration.",NO,"NO   The text discusses a sports tournament, player rotations, and team performance with no mention of immigration, labor shortages, economic growth, tax revenue, or any economic benefit linked to immigration."
7102,Merkur,"**As of: 09.09.2022, 1:00 PM**

**Empty standing:** In May, the former operator of the market municipality of Schliersee had promised to make the building of the former senior residence available for accommodating **[Group 1]**. Since then, there has been radio silence.   Thomas Plettenberg

The former operator of the Schliersee Senior Residence is ignoring requests from the district office regarding the accommodation of **[Group 1]** in the building. The building remains empty.",NO,"NO   Logistics reporting only: no cost, burden, strain, overload, or capacity limits language. The text merely states the building is empty and unused.",NO,"NO   Text describes a **resource shortage (THREAT T5)**—an empty building causing a housing crisis for refugees—with no mention of economic benefit, labor market integration, or filling a vacancy."
3200,FAZ,"How could it happen in a country with very restrictive gun laws that Abe was shot during his appearance in the street campaign? The debate about shortcomings in personal protection has begun in Japan and is unlikely to die down quickly. The country is in shock and will not simply move on.

Still under the shock of the attack, **[Group 1]** on Sunday will meanwhile elect new upper house members. Polls already indicated before Abe s murder that Abe s Liberal Democratic Party (LDP) and current Prime Minister Fumio Kishida would win the election decisively. After the assassination, the Liberal Democrats are expected to gain even more votes, political observers speculate.

Abe was protected by only one bodyguard.",NO,"NO   No mention of immigration, economic threats, or any T1–T5 criteria. Text focuses solely on Japan’s gun laws, political shock, and an unrelated election.",NO,"NO   The text discusses political elections, security failures, and shock in Japan—no mention of German economic benefit, labor shortages, tax revenue, GDP, or integration measures. International news about Japan does not qualify."
358,TA,"**Citizen Testing Centers**

**German Red Cross (DRK) M hlhausen**
Mon Fri 8 AM 4 PM, Sat 10 AM 4 PM
covid19@kv-muehlhausen.drk.de
**DRK M hlhausen Hotline:** Mon Fri 8 AM 12 PM
0151 / 16327189

**Johanniter (Order of St. John) Bad Langensalza**
Stra e der Einheit 22
Mon 7 8 PM, **[Group 1]**   Rapid tests

**Johanniter Katharinenberg**
Katharinenberger Stra e 22
Tue 1 2:30 PM, **[Group 1]**   Rapid tests

**Johanniter Bad Tennstedt**
Kurstra e 10
Thu 7 8 PM, **[Group 1]**   Rapid tests

**HeRo Medicare Nursing Service**
Bahnhofsplatz 1
Mon Fri 6:30 AM 10 AM, 4 7 PM
Sat/Sun/Holidays 10 AM 12 PM, **no appointment required**

Further information on other testing centers available online:",NO,"NO   Logistics reporting: testing centers are listed with operating hours and target groups, but no mention of cost, financial pressure, or capacity limits for the receiving society.",NO,"NO   The text describes testing centers, hotlines, and rapid test availability for **[Group 1]**—no mention of labor shortages, economic growth, tax revenue, GDP, skilled labor shortages, degree recognition, work permits, or lost economic benefits. This is purely logistical/health-related information."
8973,Berliner Morgenpost,"Ovtcharov delivered top-level table tennis against the world champion. For the world rankings  11th seed, it was his third victory in nine matches against Fan Zhendong. * It was a very good game from me today, * Ovtcharov said. * But I m especially happy that, after overcoming my injury, I could now prove once again that I am back at the very top of the world. *

Though Boll presented himself in good form after his defeat, he could not trouble the strong [Group 1] opponent. The German team had entered with six men and women. Besides Boll, those eliminated included European champion Dang Qiu (world rankings 13th), Patrick Franziska (Europe s top-16 winner), Ying Han, and EM runner-up Nina Mittelham.

The WTT Cup final tournament has replaced the traditional Grand Finals as table tennis  annual season finale. Eligible to compete are the top 16 players from both the men s and women s world rankings.",NO,"NO   The text discusses table tennis matches, player rankings, and tournament structure with no mention of immigration, economic threats, or any of T1–T5 criteria.",NO,"NO   The text discusses table tennis matches, rankings, and athletic performance with no mention of immigration, labor market effects, economic growth, or any criterion B1–B5."
9188,Bild,"**Criticism from all sides**

Frank M ller-Rosentritt (39), the FDP s Israel expert, told *BILD*:  People who advocate for the end of Israel must not be given a platform at the Documenta. It cannot be that the Khalil Sakakini Cultural Center named after a Hitler sympathizer and a supporter of BDS can participate in Germany s largest art exhibition. Culture must contribute to understanding, not to hatred toward [Group 1] and Israel. 

Historian and publicist Prof. Michael Wolffsohn (74) also warns:  The freedom of art is a precious good. But that does not mean: freedom to incite hatred. Incitement that endangers human lives!",NO,"NO   No mention of economic threat framing (T1–T5). The text focuses solely on cultural/political criticism (BDS, incitement) with no reference to costs, burden, or resource strain.",NO,"NO   The text discusses cultural and political criticism (artistic freedom, hatred, incitement) with no mention of economic benefit, labor market integration, or any B1–B5 criteria."
7071,Handelsblatt,"Indeed: Energy price subsidies should always only be temporary support measures for the transition and adaptation. An energy policy that truly helps industry is one that ensures a rapid expansion of wind and solar power, thereby making energy prices affordable for everyone citizens and businesses alike.

Germany must work on many other location factors to remain attractive for future industries, even if energy may be cheaper elsewhere: a top-tier education system, open borders for skilled [Group 1], minimal and efficient bureaucracy, and perfect digital and analog infrastructure.

Modern industrial policy should leverage these tools to enable an economic structure that continuously reinvents itself and thereby grows stronger over time. After all, innovation capability is the strongest form of resilience.",NO,"NO   No mention of T1–T5. While ""open borders for skilled [Group 1]"" is present, it is framed as a *positive* economic policy tool (attracting skilled labor) and not as a threat or burden. No explicit cost, burden, or capacity limit language appears.",YES,"**B4** – *""open borders for skilled [Group 1]""* explicitly links immigration to addressing a labor/skills gap (implied by ""future industries"" needing workers)."
