dimension,sub_criterion,label,input,explanation
threat,T1,YES,"An analyst from the German Economic Institute warned that the uncontrolled influx of migrants is posing a serious threat to the economic stability of the country. 'The burden on public infrastructure is becoming unsustainable and will ultimately damage the prosperity of the working population,' the analyst said.",T1 YES — explicit statement that migrant influx threatens economic stability and prosperity of the receiving society.
threat,T1,YES,"Economic researchers have warned that mass immigration is increasingly threatening the living standards of the existing population. Rents are rising, wages in low-skill sectors are being driven down, and the overall economic outlook for ordinary citizens is worsening.",T1 YES — explicit statement that immigration threatens living standards and economic well-being of the receiving population.
threat,T1,YES,The opposition leader declared: 'It is a myth that immigration brings only benefits. The truth is that unchecked migration is harming our economic prospects and eroding the wealth that previous generations built.' He called for immediate action.,T1 YES — occurrence rule: frame explicitly stated even though framed as a political declaration; economic harm linked to immigration.
threat,T1,NO,"The German economy grew by 1.8 percent last year, driven largely by strong exports and domestic consumption. Analysts expect further growth in the coming quarters, despite headwinds from rising energy costs.",T1 NO — general positive/negative economic news with no link to immigration.
threat,T2,YES,"The Bundesbank issued a warning that Germany's long-term economic competitiveness is being undermined by immigration-related costs that are diverting investment away from research and infrastructure. 'Germany's economic future is at stake if this trend continues,' the report stated.",T2 YES — explicit statement that immigration-related costs undermine Germany's long-term economic competitiveness.
threat,T2,YES,"Brussels economists published a study arguing that the refugee crisis is threatening the economic cohesion of the entire European Union. Member states are spending billions on reception and integration rather than on growth-oriented investments, the study found.",T2 YES — explicit statement that the refugee crisis threatens EU economic cohesion and competitiveness.
threat,T2,NO,"The European Central Bank raised interest rates for the third time this year, citing persistent inflation across the Eurozone. The decision is expected to slow growth in Germany and France.",T2 NO — general EU economic policy with no link to immigration.
threat,T3,YES,"The trade union warned that rising numbers of unskilled migrants entering the construction sector are displacing German workers and driving down wages. 'Our members are losing jobs and earning less because employers prefer to hire cheaper foreign workers,' the union representative said.",T3 YES — explicit displacement of native workers and wage depression caused by immigration.
threat,T3,YES,"Unemployment figures in the region have risen sharply since the arrival of large numbers of migrants, according to local data. The job center reports a growing backlog of German applicants who cannot find work, while a growing proportion of available positions are being filled by recently arrived migrants.",T3 YES — rising unemployment explicitly linked to immigration.
threat,T3,YES,"Critics argue that many of the new arrivals are unwilling to work and are instead content to live off state benefits indefinitely. 'There is no incentive for them to enter the labor market,' one commentator wrote.",T3 YES — explicit claim of unwillingness to work and lack of work incentive among immigrants.
threat,T3,YES,"The employer federation responded to the news by saying: 'Of course immigration does not take our jobs — that argument has been debunked again and again.' However, the union insists that wage depression in several sectors is already measurable.",T3 YES — occurrence rule: wage depression frame is explicitly present even though employer federation denies it.
threat,T3,NO,"The region's football club signed three new players this week, including two from abroad. The coach expressed optimism about the upcoming season.","T3 NO — sports content, no immigration labour market framing."
threat,T4,YES,"According to new parliamentary figures, foreign Hartz-IV recipients now account for over 30 percent of all welfare claimants in large cities, with the share rising continuously since 2015. Politicians from the opposition have demanded immediate action.","T4 YES — explicit identification of immigrant group as Hartz-IV welfare recipients, straining the welfare system."
threat,T4,YES,"The AfD politician argued that Germany's generous social benefits are functioning as a magnet for economic migrants with no prospect of employment. 'People are coming not to work but to claim,' he stated. The government rejected the accusation.","T4 YES — occurrence rule: social benefits as migration pull factor explicitly stated, even though government rejects it."
threat,T4,YES,"A leaked Finance Ministry report warned that the federal government has lost control over the cost of social payments to asylum seekers. 'The financial burden on taxpayers from welfare expenditure linked to migration has now exceeded all projections,' the document read.",T4 YES — explicit taxpayer burden from welfare expenditure linked to migration.
threat,T4,YES,"The parliamentary inquiry revealed that [Group 1] and [Group 2] together make up the largest share of foreign Hartz-IV recipients, receiving an estimated €1.2 billion in state welfare payments last year alone.",T4 YES — explicit welfare cost: immigrant groups identified as largest share of Hartz-IV recipients with specific cost figure.
threat,T4,NO,"The city council voted to increase the local social welfare budget by 12 percent next year, citing rising costs across all demographics and an ageing population.",T4 NO — social welfare spending mentioned but not linked to immigration.
threat,T5,YES,"The mayor of Munich announced that the city will need an additional €200 million this year to cover the costs of housing, schooling, and healthcare for newly arrived [Group 1]. 'We are at our absolute financial limit,' he said at the press conference.","T5 YES — explicit billions/millions in costs for housing, schooling, healthcare for immigrants; financial limit stated."
threat,T5,YES,"The district administrator reported that all available spaces in refugee accommodation facilities are now fully occupied. 'We have turned a sports hall and a former factory into emergency shelters, but even those are now full. We urgently need more staff and more money,' he said.","T5 YES — explicit capacity overload: all spaces occupied, sports halls converted, urgent need for more staff and money."
threat,T5,YES,"School authorities in the state reported a shortage of over 3,000 teaching positions needed to provide adequate instruction for refugee children. The additional administrative burden on local authorities is threatening to bring normal public services to a standstill.",T5 YES — explicit shortage of teaching positions and administrative overload caused by refugee arrivals.
threat,T5,YES,"Healthcare providers in border regions have warned of collapsing capacity at emergency wards following the arrival of [Group 1]. Waiting times have tripled and medical staff are working double shifts. 'The system simply cannot cope with this volume,' said the hospital director.",T5 YES — explicit healthcare system capacity collapse linked to immigration.
threat,T5,YES,The interior minister acknowledged that deportation and border enforcement costs have risen to €4.3 billion this year — a record high. Critics call it an unsustainable drain on the federal budget.,T5 YES — explicit deportation/border enforcement costs at record level.
threat,T5,YES,Readers commented sarcastically: 'Time to build five-star hotels for the new arrivals at taxpayer expense — that will solve the housing shortage we have been waiting for.' Others asked how much longer the communes could bear the financial pressure.,"T5 YES — occurrence rule: taxpayer-funded accommodation costs and housing shortage framing explicitly present, even though stated sarcastically."
threat,T5,NO,"A charity organization collected over €500,000 in donations in a single weekend to support refugees arriving in Germany. Volunteers distributed food, clothing, and hygiene products at the main train station.",T5 NO — donation context: exclusion applies. Charitable donations do NOT count as T5 capacity costs.
threat,T5,NO,Germany announced it would deliver an additional 50 armoured vehicles and artillery ammunition to Ukraine as part of its ongoing military support package.,T5 NO — weapons delivery: exclusion applies. Arms deliveries do NOT count as T5 costs.
threat,T5,NO,"Energy prices across Europe rose by 14 percent in the third quarter, driven by supply chain disruptions and the ongoing conflict in Ukraine. Economists warn of a difficult winter ahead for German households.",T5 NO — general economic hardship (energy prices) with no link to immigration.
benefit,B1,YES,"A new study by the Institute for Employment Research found that immigration has added approximately €22 billion to Germany's tax revenue over the past decade. 'Migrants who are employed contribute significantly to public finances,' the lead researcher explained.",B1 YES — explicit statement that immigration generates tax revenue and contributes to public finances.
benefit,B1,YES,"The Finance Ministry published projections showing that continued skilled migration will boost Germany's GDP by up to 0.8 percent per year over the next decade. 'Attracting workers from abroad is essential for our economic growth,' the minister said.",B1 YES — explicit GDP growth benefit and economic contribution linked to immigration.
benefit,B1,YES,"The opposition leader dismissed the government's figures, calling them 'fantasy economics' and rejecting the claim that immigration contributes billions to the German economy each year. 'Show me one study that proves migrants are a net fiscal benefit,' he demanded.",B1 YES — occurrence rule: economic contribution of immigration explicitly mentioned even though denied and challenged.
benefit,B1,NO,"Germany's federal budget surplus rose to €12 billion last year, driven by strong corporate tax receipts and robust employment figures among the existing workforce.",B1 NO — positive economic/fiscal news with no link to immigration.
benefit,B2,YES,The European Commission's annual report concluded that immigration from non-EU countries has strengthened the German economy and contributed to economic resilience across the EU. Member states with higher migration rates consistently outperformed those with lower rates on key growth indicators.,B2 YES — explicit statement that immigration strengthens the German and EU economy.
benefit,B2,YES,"Economists at the DIW argued that Germany's openness to migration is a structural advantage over other European economies. 'The countries that welcome skilled workers from abroad are the ones that will lead European growth in the coming decades,' the report stated.",B2 YES — explicit statement that migration openness gives Germany an economic advantage within Europe.
benefit,B3,YES,"The Federal Statistics Office warned that without sustained immigration, Germany's workforce will shrink by 7 million people by 2035 due to the ageing population. 'We simply cannot fund our pension system without new workers coming from abroad,' the president of the office stated.",B3 YES — explicit link between immigration and pension system/aging population necessity.
benefit,B3,YES,"Demographers have long argued that Germany's shrinking and ageing population makes immigration not a choice but a necessity. Without a steady influx of working-age people from abroad, the social security system will face collapse within a generation.",B3 YES — explicit statement that immigration is necessary due to shrinking workforce and social security system sustainability.
benefit,B3,YES,"The opposition dismissed the government's claim that immigration is needed to rescue the pension system. 'This is a myth used to justify open borders,' the politician said. Demographers countered by citing projections showing a workforce gap of millions by 2040.",B3 YES — occurrence rule: demographic necessity/pension system benefit explicitly stated even though disputed.
benefit,B3,NO,"Germany's birth rate has fallen to its lowest level in fifteen years, raising concerns about long-term economic productivity. The government announced a new package of financial incentives for families with children.",B3 NO — demographic challenge mentioned but no link to immigration as a solution.
benefit,B4,YES,"The Ministry of Economics announced a new fast-track visa program specifically designed to bring qualified engineers and IT specialists from [Group 1] to Germany. 'We have a Fachkräftemangel crisis and immigration is the only realistic short-term solution,' the minister said.",B4 YES — explicit Fachkräftemangel (skilled labour shortage) directly linked to immigration as the solution.
benefit,B4,YES,"Hospitals across Germany are recruiting nurses and doctors from [Group 1] to fill thousands of vacant positions in the healthcare sector. 'Without international recruitment, we would have to close entire wards,' said the hospital association president.",B4 YES — explicit labour shortage in healthcare sector being filled by immigration.
benefit,B4,YES,"Agriculture employers in Bavaria rely heavily on seasonal workers from [Group 1] to bring in the harvest each year. 'Without this cheap and reliable labour, the entire fruit and vegetable sector would collapse,' one farmer explained.",B4 YES — explicit cheap labour provision by immigrant group filling a sector labour need.
benefit,B4,YES,"The employer federation rejected the argument that immigration helps fill labour shortages, saying domestic training programs were sufficient. But the IT industry association cited 96,000 unfilled programmer positions and called for immediate relaxation of visa rules for [Group 1] specialists.",B4 YES — occurrence rule: Fachkräftemangel + immigration benefit frame explicitly stated even though employer federation disputes the broader claim.
benefit,B4,NO,"Germany is facing a serious shortage of skilled tradespeople, with over 200,000 apprenticeship positions unfilled. Industry groups are calling for reforms to the vocational training system to attract more young Germans into the trades.",B4 NO — Fachkräftemangel mentioned WITHOUT any link to immigration as a solution. Exclusion applies.
benefit,B5,YES,"The Integration Commissioner stated that if Germany invested properly in language courses, degree recognition, and job placement for [Group 1], the resulting labour market contribution could generate up to €8 billion in additional economic output per year. 'The potential is there — we just need the right policies,' she said.","B5 YES — explicit conditional prosperity: if integration measures provided, named economic benefit (€8bn) will result."
benefit,B5,YES,"A study by the Bertelsmann Foundation found that Germany is losing an estimated €3.5 billion in annual tax revenue because qualified [Group 1] professionals cannot get their foreign degrees recognised. 'We are throwing economic value away through bureaucratic obstruction,' the lead researcher concluded.",B5 YES — explicit lost economic benefit: tax revenue lost due to lack of degree recognition.
benefit,B5,YES,"Language barriers are preventing hundreds of thousands of [Group 1] from entering the labour market, costing the German economy billions in lost productivity each year, according to a new report. 'If we fail to invest in language integration, we will continue to leave enormous economic potential on the table,' the report warned.","B5 YES — explicit lost economic benefit: language barriers preventing labour market entry, quantified economic loss."
benefit,B5,YES,"The researcher noted that discriminatory hiring practices are causing Germany to lose skilled [Group 1] workers to Canada and the UK, which have more welcoming immigration systems. 'Through our restrictive policy, we are actively destroying the very economic advantage we claim to need,' she argued.","B5 YES — explicit lost benefit: restrictive policy causes skilled workers to go to competitors, named economic damage."
benefit,B5,YES,"Politicians insisted that integration measures were an unnecessary expense. Critics shot back that every euro NOT invested in language and job training for [Group 1] costs the economy far more in lost output, welfare dependency, and foregone tax revenue.","B5 YES — occurrence rule: lost economic benefits from insufficient integration explicitly stated, even in context of political dispute."
benefit,B5,NO,The integration program helped [Group 1] learn German and adapt to life in their new home. Many participants reported feeling more confident and socially connected after completing the course.,"B5 NO — cultural integration success (language learning, social connection) WITHOUT explicit economic outcome. This is Kultur Benefit, not Wirtschaft Benefit."
both,T4+B4,BOTH,"The debate in the Bundestag grew heated as one side argued that [Group 1] are draining the welfare state through mass unemployment, while the other side countered that skilled workers from [Group 1] are filling critical gaps in our healthcare and construction sectors. Both positions were stated explicitly during the three-hour debate.",BOTH — T4: welfare drain frame explicitly stated (one side argues it). B4: skilled labour gap-filling frame explicitly stated (other side argues it). Occurrence rule: both frames present regardless of which side is right.
both,T5+B3,BOTH,"The municipal authority faces a dual challenge: on one hand, the reception facilities are bursting at the seams and the financial pressure on the communes is immense; on the other hand, demographic projections make clear that without immigration, the local workforce will shrink to a point where public services cannot be maintained.","BOTH — T5: reception facilities at capacity, financial pressure on communes. B3: demographic necessity, workforce shrinkage without immigration. Both frames simultaneously present."
both,T3+B5,BOTH,"The economist noted that unskilled immigration is displacing native low-wage workers in cleaning and logistics — a real cost — but at the same time, Germany's restrictive credential recognition rules are preventing qualified [Group 1] engineers from contributing to the economy as they should. Both failure modes cost the economy dearly.",BOTH — T3: displacement of native workers in low-wage sectors. B5: lost economic contribution from qualified immigrants blocked by credential rules. Both frames present.
both,T1+B1,BOTH,It is simply false that immigration is an economic burden — the data shows clearly that employed migrants generate more in taxes than they consume in services. But critics insist that the economic costs to the native working class are real and growing.,BOTH — B1: tax contribution benefit frame explicitly stated (even as affirmation). T1: economic burden/cost to native working class threat frame explicitly stated (by critics). Occurrence rule: both frames present.
threat,T4,YES,The journalist wrote: 'The claim that [Group 1] are sponging off the welfare state is simply not supported by the data. Employment rates among this group have risen sharply and welfare dependency has fallen.' The right-wing blog had made the original accusation.,T4 YES — occurrence rule: welfare dependency/sponging frame explicitly mentioned even though the journalist is refuting it. Frame is present.
threat,T3,YES,"The Economics Minister laughed off the suggestion that migrants are stealing German jobs. 'That idea belongs in the 1970s — it has been thoroughly debunked,' she said at the press conference. The union representative in the audience nodded but added that wage pressure in certain sectors was worth monitoring.",T3 YES — occurrence rule: job displacement/stealing frame explicitly mentioned even though minister dismisses it.
benefit,B3,YES,"The AfD spokesman rejected the demographic argument entirely. 'We do not accept the claim that we need mass immigration to save our pensions. That is propaganda designed to justify open borders,' he said during the party conference.",B3 YES — occurrence rule: pension system/demographic necessity benefit frame explicitly mentioned even though speaker rejects it entirely.
threat,T5,YES,The satirical magazine ran the headline: 'Brilliant idea — let's turn every school gym into a refugee shelter and see how long parents stay patient.' The piece mocked government housing policy but made the capacity crisis impossible to ignore.,T5 YES — occurrence rule: school gym conversions and accommodation capacity crisis explicitly stated even in sarcastic/satirical framing.
threat,EXCL-donation,NO,"Within 48 hours, the online campaign had raised over €2 million in donations for [Group 1] families who had lost everything during the crossing. Volunteers were deployed across twelve cities to distribute aid packages.",NO — Donation context: exclusion applies. Charitable donations are explicitly excluded from T5 even if large sums are mentioned.
threat,EXCL-weapons,NO,Germany confirmed the delivery of a further package of heavy weapons and ammunition to [Group 1] as part of its ongoing military support commitments. The package includes self-propelled howitzers and anti-tank missiles.,NO — Weapons delivery: exclusion applies. Arms deliveries are explicitly excluded.
threat,EXCL-general-economy,NO,"Inflation in Germany reached 8.7 percent last month, driven by energy prices and supply chain disruptions. The Bundesbank warned of a possible recession if interest rates are raised too aggressively.",NO — General economic hardship not linked to immigration. Inflation and recession framing alone does not trigger T1-T5.
threat,EXCL-war,NO,Fierce fighting continued in the eastern regions of Ukraine for a third consecutive week. Casualty figures on both sides remain unclear but military analysts estimate thousands of soldiers have been killed or wounded.,NO — War/military content. No economic framing linked to immigration.
benefit,EXCL-cultural,NO,"The integration project was celebrated as a great success: participants had learned German, formed friendships with local families, and were described by their teachers as highly motivated. The mayor called it an example for other municipalities.","NO — Cultural integration success (language, social belonging) with no named economic outcome. This is Kultur Benefit, not Wirtschaft Benefit. B5 does NOT apply unless an economic outcome is explicitly stated."
benefit,EXCL-fachkraefte-no-migration,NO,"Germany's skilled labour shortage has reached a critical level, with 800,000 positions unfilled in engineering, healthcare, and IT. Industry leaders are calling on the government to invest more in domestic vocational training and to improve working conditions.",NO — Fachkräftemangel explicitly mentioned BUT with no link to immigration as a solution. Exclusion applies for B4.
threat,SPORTS,NO,"The [Group 1] national team secured a dramatic 2-1 victory in the quarterfinals, with the winning goal coming in the 89th minute. Thousands of fans celebrated in the streets.",NO — Sports content. No economic immigration framing of any kind.
benefit,SPORTS,NO,"The [Group 1] player completed his transfer to Bayern Munich for a reported fee of €45 million, making him the club's most expensive signing of the summer window.",NO — Sports transfer. No immigration economic benefit framing.
