article_id,pub,par_index,group,length,text_block_english,row_num,threat_human,benefit_human,notes,labels_run1,explanations_run1,labels_run2,explanations_run2,labels_run3,explanations_run3,labels_run4,explanations_run4,labels_run5,explanations_run5,majority_label,majority_count,agreement
633a7b47a5224ed9a50038ef,Tag24,6,MUSL,101,"At the **Cologne Central Mosque** of the **D T B**, the program included guided tours, lectures such as *""Mosques between Climate Crisis and Transformation""* as well as a *""Resource Trail for Young and Old.""*

The **Central Council of [Group 1]** (**ZMD**) also emphasized that under the motto *""scant resources   great responsibility,""* awareness should be raised for a sustainable and climate-adapted way of life. To combat climate change, it requires profound structural changes as well as behavioral adjustments also within **Group 1**, mosques, and Muslim institutions.

The **ZMD** initiated the **Day of the Open Mosque** in 1997 as a deliberate sign of belonging and solidarity on **October 3rd**, the **Day of German Unity**.",1,NA,NA,NA,NO,"NO   The text focuses on cultural integration, solidarity, and climate initiatives—none of B1–B5 are mentioned. No economic benefits (labor market filling, tax revenue, GDP, etc.) or barriers to economic participation (degree recognition, language barriers, work permits) are present.",NO,"NO   The text discusses climate awareness, cultural integration, and solidarity without mentioning any economic benefit (e.g., labor market entry, tax revenue, wage growth) linked to immigration.",NO,"NO   No mention of B1–B5: The text discusses cultural integration, climate awareness, and solidarity initiatives without linking them to explicit economic outcomes such as labor market entry, tax revenue, GDP benefit, or filling labor shortages. The phrase *""scant resources – great responsibility""* refers to sustainability, not economic benefit.",NO,"NO   The text discusses cultural/societal integration (solidarity, climate awareness, belonging), academic lectures on sustainability, and a historical event (Day of German Unity) — none of which explicitly mention economic benefit (B1–B5), labor market entry, or immigration-linked prosperity.",NO,"NO   The text discusses cultural integration, climate awareness, and structural belonging—no mention of economic variables (labor market entry, tax revenue, GDP, skill shortages, or policy barriers like language/degree recognition).",NO,5,1
632712b23dd49b919c2046e5,Merkur,69,RUS,71,"**First Round:** The wind is now causing the first interruption.

**First Round:** [Group 1] Irma Makhina now takes a clear lead. She also posts the best jump so far with **90 meters**.

**First Round:** We still have to wait a little for the first German. Selina Freitag has bib number **19**, directly after her comes Julian Seyfarth. Pauline He ler follows with **24**, and Katharina Althaus will close the first round!",2,NA,NA,NA,NO,"NO   The paragraph describes an athletic event (long jump competition) with no mention of skill shortages, labor demand, integration measures, or economic mechanisms.",NO,"NO   Text describes an athletic competition with no mention of immigration, labour market entry, economic effects, or vocational integration.",NO,"NO   Text describes an athletic competition with no mention of economic benefit frames (B1–B5), labor shortages, immigration-related policy, or explicit economic outcomes.",NO,"NO   Text is about athletic performance (jumping) and athlete numbers, with no mention of labor shortages, vacancies, degree recognition, economic output, or any economic benefit linked to immigration.",NO,"NO   The paragraph describes an athletic event (jumps in a competition), mentions no labor market, economic integration, or any immigration-related economic benefit. No sub-criterion B1–B5 applies.",NO,5,1
LVZ-doc7o6fddrgidxw60a2oc3,LVZ,20,PRT,127,"**Season 2021/2022**

**Andr  Silva (until 2026):** In *Mainhattan*, they still miss Silva s goals today. For his part, Silva missed the appreciation from the Portuguese national team coach at the World Cup after all, his playing time in Qatar was rather meager. Yet, the hardworking [Group 1] player thrived under Rose and has proven his worth even without his beloved goals.

**Josko Gvardiol (until 2027):** Currently, alongside Nkunku, the jewel of RB. Leipzig sent the comparatively affordable 18.8 million to Zagreb just over a year and a half ago. Now, over 100 million are circulating as a transfer fee for the Croatian national defender. The World Cup stage has also played a role. Chelsea (preferably immediately) and Real Madrid (next summer) are seen as serious suitors. According to reports, an exit clause worth 112 million euros is set to activate in the summer of 2024. One thing is already clear: a top deal.",3,NA,NA,NA,NO,"NO   Discusses soccer player contracts, transfer fees, and football career trajectories — no mention of labor market shortages, tax revenue, GDP benefit, nor integration measures. Purely a sports/economic transaction, no economic benefit framing linked to immigration.",NO,"NO   Text discusses **football transfers and player value** (e.g., ""18.8 million,"" ""112 million euros"") but **not economic benefits linked to immigration** (e.g., labor market participation, skilled worker shortages, tax revenue, or integration measures). Even though ""hardworking"" and ""proven his worth"" are mentioned, no economic benefit frame (B1–B5) is explicitly tied to immigration or Germany's labor market.",NO,"NO — The text discusses individual football players' performance and transfer fees, with no mention of immigration, labour shortages, vacancies, tax revenue, GDP, language barriers, or policy-induced economic benefits. B4/B5 criteria are explicitly unrelated to immigration or integration measures.",NO,"NO   This paragraph discusses **football player transfers and market value** (not labor market integration, skills shortages, or economic benefit frames linked to immigration). No mention of tax revenue, GDP, labor shortages, degree recognition, or work permits being a barrier. Even if ""immigrant"" players are referenced, the text does *not* frame them as economic assets (e.g., ""filling vacancies"" or ""boosting GDP""). This is purely sports/economic news about individual player valuations.",NO,"NO   Sports transfer market discussions, player values, and national team dynamics are unrelated to economic benefit framing linked to immigration (e.g., labor market demands, skills shortages, integration measures).",NO,5,1
632712ad3dd49b919c1e366d,Welt,6,HUN,149,"**WELT:** Mr. von Dohnanyi, you have been engaged for some time with the search for a German identity: Who are we Germans today?

**Klaus von Dohnanyi:** All European nations have a long cultural and political history that has shaped their identity. For most nations, this history still plays a significant role in their self-perception and self-confidence. For example, [Group 1] was ruled for centuries by [Other Group], [Other Group], or [Other Group]. [Other Group] suffered under Russian and German divisions and occupations. French President Macron recently proudly showed US President Trump Napoleon s tomb.

In our case, the Holocaust created a deep fracture in our historical consciousness. You hear that deeper historical education in schools often barely goes back beyond the Nazis. Are we therefore less nostalgic historically, but because of that more modern and able to mediate in Europe without bias? My book *Nationale Interessen* [National Interests] attempts to give a positive answer.",4,NA,NA,NA,NO,"NO   The text exclusively discusses **historical identity, cultural trauma, and geopolitical mediation**—no mention of economic benefit, labor shortages, GDP, tax revenue, pension strain, or integration measures tied to immigration. All criteria B1–B5 are absent.",NO,"NO   The text discusses historical identity, cultural memory, and political mediation but contains **zero** explicit references to economic outcomes, labor shortages (B4), integrative measures (B5), or positive economic effects (B1–B3) tied to immigration.",NO,"NO   Text contains no mentions of economic benefits (tax revenue, growth, GDP), labor shortages, integration measures like degree recognition or work permits, or explicit economic outcomes tied to immigration.",NO,"NO   The text discusses historical identity, European politics, and cultural narratives without linking to economic outcomes, labor shortages, or any of B1–B5 criteria.",NO,"NO   The text discusses historical consciousness, cultural identity, and European mediation but does **not** mention tax revenue, GDP, labor shortages, immigration as a solution for skills gaps, or any economic outcomes. No phrases related to B1–B5 appear.",NO,5,1
Tonline_added_3e5c2f06a2e4cbec528a3d5df6cf929b82326a69_,T-Online,5,RUS,211,"Two days after his outstanding victory over defending champion Daniil Medvedev, Kyrgios had to concede defeat to [Group 1] Karen Khachanov in a five-set match lasting 3:39 hours, losing 5:7, 6:4, 5:7, 7:6 (7:3) and 4:6. During the match, Wimbledon finalist Kyrgios who made too many unforced errors received treatment on his wrist.

""I ve done it,"" said Khachanov, visibly proud of advancing to his first Grand Slam semifinal. There, he will face Norwegian Casper Ruud. The fifth-seeded Ruud had previously defeated [Other Group] Matteo Berrettini in straight sets, 6:1, 6:4, 7:6 (7:4), becoming the first Norwegian in tournament history to qualify for the semifinals. If he reaches the final, Ruud could take the world No. 1 ranking from [Group 1] Medvedev after the event.

The first women s semifinal pairing is also set: Wimbledon finalist Ons Jabeur will face Carolina Garc a. [Other Group] Garc a delivered a standout performance in her 6:3, 6:4 win over US rising star Coco Gauff (18). Meanwhile, [Other Group] Jabeur advanced with a 6:4, 7:6 (7:4) victory over Australian Ajla Tomljanovi , who had eliminated Serena Williams in the third round.",5,NA,NA,NA,NO,"NO   The text discusses a tennis tournament and mentions athletes' nationalities, performances, and rankings, with no explicit mention of immigration, labor shortages, economic growth, tax revenue, GDP benefits, or integration measures related to immigration. No sub-criterion B1–B5 applies.",NO,"NO   Text is entirely about tennis matches, player rankings, and competitive outcomes with no mention of labor market integration, economic growth, GDP, tax revenue, skilled labor gaps, or policy barriers.",NO,"NO   Text describes tennis match results and sports achievements with no mention of immigration, labor market effects, tax revenue, or economic outcomes for Germany. None of B1–B5 apply.",NO,"NO   This text describes a tennis tournament (Wimbledon) with no mention of immigration, labor shortages, economic growth, GDP, tax revenue, or any B1–B5 criteria. Even though tennis names (including [Group 1] and [Other Group]) are referenced, there is no economic benefit or labor-market framing linked to immigration.",NO,"NO   The text describes a tennis tournament with no mention of immigration, economic outcomes, labor shortages, or integration measures. It does not discuss tax revenue, GDP, aging populations, or any economic benefit linked to immigration.",NO,5,1
632712833dd49b919c0d06c8,FAZ,9,USA,77,"'Who s the one doing it?

**[Group 1]** moralizes infidelity. Cheating is seen as a moral betrayal. But even in Europe, infidelity is the first thing people mention when talking about betrayal! You can live with an alcoholic, you can live with a gambler, even with domestic violence! And no one tells you: Leave this partner! But infidelity has become the ultimate betrayal in a marriage where you thought you d found your soulmate.

So is that why it s such a big deal?'",6,NA,NA,NA,NO,"NO   The text discusses moral views on infidelity with no reference to economic factors, labor shortages, Germany’s pension system, skilled labor, or immigration policy. No direct or indirect framing of economic benefit (B1–B5) appears.",NO,"NO   The text discusses moral attitudes toward infidelity and does not mention any economic effects (tax revenue, labor shortages, GDP, integration measures, or policy barriers).",NO,"NO   This text discusses moral perspectives on infidelity and does not mention any economic topics (tax revenue, labour market, GDP, pension systems, skilled labour shortages, integration measures, or barriers to employment).",NO,"NO   The text contains **no** reference to labor market shortages, economic benefits (taxes, GDP, growth), pension/social security strain, degree recognition, language barriers preventing employment, skilled labor shortages, or any immigration-related economic mechanism. The topic is exclusively socio-cultural (infidelity norms).",NO,"NO   Text discusses cultural/moral values of infidelity with no mention of economic outcomes, labour shortages, tax revenue, or immigration-related policy.",NO,5,1
632712a33dd49b919c1a8b5a,T-Online,17,REFUG,74,"**""Pure speculation"": Kaspersky defends itself against allegations
Ukraine War: Ukraine seeks fighters for cyber army
Belgian authorities investigate: Hackers cripple oil terminals across Europe

Additionally, the Chinese state-backed hacker group **""Mustang Panda""** has reportedly begun targeting European organizations more frequently. Using phishing messages related to the Ukraine war, attackers attempt to obtain employees  personal data or internal information. Diplomatic missions and **[Group 1]**- as well as immigration authorities are particularly affected.**",7,NA,NA,NA,NO,NO,NO,"NO   Text only names hacking targets including immigration authorities, with no mention of economic benefit (tax revenue, GDP, labor shortage filled, or integration measures). Even ""Mustang Panda"" activities are tied to cybercrime, not immigration's economic role.",NO,"NO   The paragraph mentions hacking targeting immigration authorities but **no explicit economic benefit frame** (B1–B5) is present: no mention of labor shortages, tax revenue, GDP, skilled workers filling jobs, or lost prosperity due to integration barriers.",NO,"NO   The text describes **cyberattacks on immigration authorities** and no economic benefit (labor gap filled, GDP rise, tax revenue, or workforce relief) is explicitly linked to **[Group 1]** immigration.",NO,"NO   The text describes cyberattacks targeting **diplomatic missions and [Group 1] immigration authorities**—this is a security threat, not an economic benefit. No mention of labor shortages, tax revenue, degree recognition, work permits, or economic contributions linked to immigrants.",NO,5,1
632712c33dd49b919c26b29d,Telepolis,50,EU,150,"But even in Europe, the situation is becoming increasingly unstable. The social imbalances are being felt more and more sharply. Inequality has grown over the past few decades as a result of neoliberal policies. This trend was accelerated by the 2008 global financial crisis, when bank collapses shook the already fragile foundations of the Eurozone structure.

The political response to this deepened social divisions and followed the familiar *nanny-state* mantra: privatize profits, socialize losses and damages. While banks and those with substantial financial wealth were bailed out, austerity measures led by Germany forced many [Group 1] to tighten their belts. The Troika s assault on the welfare state, as predicted, increased poverty in the Union, destroyed economic development, and wiped out jobs in affected countries and regions.

A study by the investment monitor *Europe s growing inequality problem* concluded, following the Covid-19 pandemic but before the Ukraine war, in January of this year:",8,NA,NA,NA,NO,"NO   The text describes neoliberal policies, austerity, **lost jobs**, and **poverty** in [Group 1]’s home countries, but **no** explicit economic benefit (B1–B5) for Germany. It explicitly frames the situation as a **cost or threat** (e.g., ""socialize losses,"" ""poverty increased,"" ""jobs wiped out""), not a German economic benefit.",NO,"**NO** — The paragraph discusses financial crises, inequality, austerity, job losses, and welfare state impacts **without** linking immigration to any positive economic effect (e.g., labor shortages filled, GDP, tax revenue, or training programs). The only mention of labor/immigration is framed as a **negative outcome** (job destruction for *Group 1*, not a German/EU benefit).",NO,"NO   The paragraph discusses **social imbalance, inequality, job destruction, and welfare state erosion** (all **threat frames**)—no mention of immigration as generating economic gains (tax revenue, labor shortages filled, GDP growth, or skilled labor provision). Even the mention of ""jobs wiped out"" refers to **harm caused in affected countries**, not benefits for Germany/EU. No sub-criterion B1–B5 applies.",NO,"NO — The entire passage describes **threats** (inequality, poverty, job losses, austerity, welfare state destruction) and systemic **political/economic failures**—no explicit mention of immigration generating positive economic effects (taxes, growth, labor shortages filled) or conditional economic benefits (B1–B5). The focus is on harm to [Group 1], not economic gains.",NO,"NO   The text exclusively describes **social inequalities, austerity-driven job losses, and economic harm** in EU crisis regions, with no mention of immigration filling labor shortages, generating tax revenue, or contributing to German/EU economic growth. Even the cited study is framed as a critique of inequality trends, with no economic benefit tied to immigration.",NO,5,1
WAZ-40946CBB085F4265202361D7DDDD603D_3740995,WAZ,3,UKR,196,"**""Berlin: Bombed-out schools and apartment blocks, burning factories, people fleeing with just a few belongings: On July 24, the war in Ukraine has already lasted five months with no end in sight. What has this armed conflict brought so far for Ukraine and Russia? A balance sheet in military, economic, and political terms.

**Military:**
20,000 dead [Other Group] and [Group 1]. For Hans-Lothar Domr se, a former Bundeswehr general and head of a NATO command, the balance sheet is catastrophic. *""The war has brought only death, suffering, and displacement. No one has truly gained anything. Many Russian soldiers have fallen, been wounded, or gone missing. In Ukraine, too, there are many dead, and the infrastructure is destroyed over vast areas. Millions of people are on the run. The [Other Group] have made hardly any territorial gains,""* Domr se told our editorial team.

The human and material losses on both sides are immense. According to assessments by U.S. intelligence agencies, around 15,000 Russian soldiers have been killed in the war so far. The number of wounded, according to CIA Director William Burns, is roughly three times as high. The government in Kyiv stated in June that between 100 and 200 Ukrainian soldiers are dying daily. *""According to estimates, the [Group 1] have lost about 5,000 soldiers, with around 50,000 wounded,""* said former General Domr se.**",9,NA,NA,NA,NO,"NO   The text **only describes military losses, humanitarian displacement, and infrastructure destruction**—no framing of economic benefit (e.g., labor market integration, GDP, tax revenue, or shortages filled) is present. The sole mention of displacement (e.g., *""millions...on the run""*) is a threat frame (T5: resource strain), not an economic benefit.",NO,"NO   Text discusses war losses, military casualties, and humanitarian damage in Ukraine/Russia without any reference to immigration, labor market integration, or economic benefit for Germany/EU. No B1-B5 criteria are met.",NO,"NO – The text exclusively focuses on **military losses, infrastructure destruction, and displacement** without any mention of economic benefits (tax revenue, labor market entry, GDP, or skilled labor shortages filled). Even if refugees or soldiers from [Group 1] were to arrive in Germany, the paragraph does **not name any economic advantage**—only human cost and conflict dynamics.",NO,"NO   The text exclusively describes military and humanitarian losses (casualties, displacement, destroyed infrastructure) with no reference to labor market entry, economic growth, tax revenue, or any of B1–B5 criteria—even indirectly. Ukraine/Russia context (international war, not German immigration) excludes B4/B5.",NO,"NO   The text discusses military and humanitarian losses in the context of the Ukraine war, with no mention of Germany's economic benefit (tax revenue, labour shortages filled, GDP growth, or pension/social security systems). Even the reference to 'displacement' refers to conflict-induced migration, not immigration as a German labor/economic solution. **B1–B5 do not apply.**",NO,5,1
KN-doc7k9z7wr4tvn10ntkkm2p,KN,7,REFUG,115,"According to reports, the Federal Employment Agency (*Bundesagentur f r Arbeit*) and the regional Job Centers are already holding discussions at all levels with their established network partners. Because: All parties involved have extensive experience in placing refugees in employment. ""The existing contacts and cooperations from the period of massive refugee migration in 2015 and 2016 have proven particularly helpful,"" says **Klink**.

In the coming weeks, the Employment Agency will primarily need to clarify the situation regarding language skills, qualifications, and availability for the labor market among **[Group 1]**.

The Employment Agency has provided information for **[Group 1]** (also in Ukrainian): [www.arbeitsagentur.de/ukraine](http://www.arbeitsagentur.de/ukraine). The recognition of professional qualifications from Ukraine is handled by the counseling centers of the **IQ Network**: [www.netzwerk-iq.de](http://www.netzwerk-iq.de).",10,NA,NA,NA,YES,"**B4 (Fachkräftemangel + immigration link)** – The text explicitly states that the goal of the discussions and efforts is placement into employment, framed as filling the labor market need (""*clarify the situation regarding ... availability for the labor market among [Group 1]*""), and the mention of qualification recognition for Ukraine-based workers aligns with addressing a labor demand. **B5 (lost benefits due to barriers)** – The phrase ""*recognition of professional qualifications from Ukraine*"" is tied to language skills and availability, which, if not addressed, would prevent labor market entry, thus representing lost economic benefit.",NO,"**NO** — The text exclusively describes *processes* (discussions, counseling, information provision) and *logistical barriers* (language skills, qualifications, availability) without naming any explicit economic benefit (filled vacancies, labor shortage solved, GDP/prosperity gain, or lost benefits due to restrictions). It does not mention B1 (tax/GDP), B2 (EU-wide benefit), B3 (aging population/pensions), B4 (filled shortage), or B5 (conditional economic gain/loss from integration measures).",NO,"**NO** – The text describes **processes** (e.g., ""holding discussions,"" ""language skills,"" ""counseling centers"") and **logistics** (e.g., ""information for [Group 1]"") but does **not** explicitly state that refugees are filling a vacancy, addressing a labor shortage, or generating economic benefit (e.g., ""filling 3,000 nursing positions"" or ""reducing Fachkräftemangel""). It also lacks a **conditional or lost economic benefit** (e.g., ""language barriers are costing Germany €X in unfilled jobs"").

Key trigger: The phrase **""clarify the situation regarding language skills, qualifications, and availability for the labor market""** is a prerequisite for employment but **not an economic outcome**—it’s procedural.",YES,"**B5** – Text explicitly names barriers to labor market entry (""language skills, qualifications, and availability for the labor market"") and states a process exists (IQ Network) to recognize qualifications, implying economic benefits are LOST (""recognition of professional qualifications is handled by..."") if these steps are not taken.",YES,"B5: **'clarify the situation regarding language skills, qualifications, and availability for the labor market'** — degree recognition (qualifications) and language barriers are explicitly named as potential hurdles, linking integration challenges to lost labor market participation.",YES,3,0.6
