article_id,pub,par_index,group,length,text_block_english,row_num,threat_human,benefit_human,notes,labels_run1,explanations_run1,labels_run2,explanations_run2,labels_run3,explanations_run3,labels_run4,explanations_run4,labels_run5,explanations_run5,majority_label,majority_count,agreement
633a7b47a5224ed9a50038ef,Tag24,6,MUSL,101,"At the **Cologne Central Mosque** of the **D T B**, the program included guided tours, lectures such as *""Mosques between Climate Crisis and Transformation""* as well as a *""Resource Trail for Young and Old.""*

The **Central Council of [Group 1]** (**ZMD**) also emphasized that under the motto *""scant resources   great responsibility,""* awareness should be raised for a sustainable and climate-adapted way of life. To combat climate change, it requires profound structural changes as well as behavioral adjustments also within **Group 1**, mosques, and Muslim institutions.

The **ZMD** initiated the **Day of the Open Mosque** in 1997 as a deliberate sign of belonging and solidarity on **October 3rd**, the **Day of German Unity**.",1,NA,NA,NA,NO,"NO   No explicit mention of costs, burden, financial pressure, or resource strain from immigration; only abstract reference to 'scant resources' as a general societal challenge with no link to immigration-specific capacity limits, costs, or overload.",NO,"NO   Discussion of climate adaptation and resource use within the immigrant group’s own institutions, with no mention of strain on German public finances, capacity limits, or additional resource needs for the receiving society. The phrase *""scant resources   great responsibility""* refers to internal challenges within the community, not to German/EU economic threats.",NO,"NO   **No mention of costs, burdens, financial pressure, or resource limits linked to immigration.** The phrase *""scant resources   great responsibility""* refers to general **climate sustainability**, not immigration-specific financial strain.",NO,"NO   Discussion of **resource scarcity** focuses on *climate adaptation* among **Group 1** internally, not on German public finances, infrastructure costs, or administrative burdens caused by immigration. No explicit mention of T1–T5 (no wages, welfare, jobs, housing shortages, or taxpayer costs).",NO,"NO   No T1–T5. The text discusses climate awareness and solidarity initiatives (e.g., *""scant resources   great responsibility""* refers to climate adaptation, not immigration-triggered financial strain), with no explicit cost, burden, or capacity limit linked to immigration.",NO,5,1
632712b23dd49b919c2046e5,Merkur,69,RUS,71,"**First Round:** The wind is now causing the first interruption.

**First Round:** [Group 1] Irma Makhina now takes a clear lead. She also posts the best jump so far with **90 meters**.

**First Round:** We still have to wait a little for the first German. Selina Freitag has bib number **19**, directly after her comes Julian Seyfarth. Pauline He ler follows with **24**, and Katharina Althaus will close the first round!",2,NA,NA,NA,NO,"NO   Sports reporting context (ski jumping results) with no mention of refugees, costs, strain, or capacity limits.",NO,"NO   Sports reporting with no economic framing. No references to T1–T5 (costs, burdens, unemployment, welfare, or capacity limits).",NO,"NO   Sports event reporting: no economic framing, no T1–T5 criteria.",NO,"NO   Athletics event reporting with no economic threat framing (no mention of costs, burden, strain, or capacity limits).",NO,"NO   Text contains only ski jumping results and athlete identities without any mention of economic threats, costs, burdens, or resource strain.",NO,5,1
LVZ-doc7o6fddrgidxw60a2oc3,LVZ,20,PRT,127,"**Season 2021/2022**

**Andr  Silva (until 2026):** In *Mainhattan*, they still miss Silva s goals today. For his part, Silva missed the appreciation from the Portuguese national team coach at the World Cup after all, his playing time in Qatar was rather meager. Yet, the hardworking [Group 1] player thrived under Rose and has proven his worth even without his beloved goals.

**Josko Gvardiol (until 2027):** Currently, alongside Nkunku, the jewel of RB. Leipzig sent the comparatively affordable 18.8 million to Zagreb just over a year and a half ago. Now, over 100 million are circulating as a transfer fee for the Croatian national defender. The World Cup stage has also played a role. Chelsea (preferably immediately) and Real Madrid (next summer) are seen as serious suitors. According to reports, an exit clause worth 112 million euros is set to activate in the summer of 2024. One thing is already clear: a top deal.",3,NA,NA,NA,NO,NO   Sports transfer market reporting and euro amounts unrelated to immigration costs or economic strain on Germany/EU.,NO,"NO   No mention of immigration, refugees, or any T1–T5 criteria. Football transfer fee discussions (e.g., *""100 million""* or *""112 million euros""*) are unrelated to migration or economic threat frames.",NO,"NO   Transfer market reporting unrelated to immigration (sporting context, no mention of Germany/EU, no economic burden/cost framing tied to immigration).",NO,"NO   No explicit mention of immigration, economic threat, or harm to Germany/EU. Transfer fees for footballers unrelated to immigration or welfare strain.",NO,"NO   Sport transfer-market reporting: no mention of immigration, economic strain, or public resources. Explicitly excluded by context.",NO,5,1
632712ad3dd49b919c1e366d,Welt,6,HUN,149,"**WELT:** Mr. von Dohnanyi, you have been engaged for some time with the search for a German identity: Who are we Germans today?

**Klaus von Dohnanyi:** All European nations have a long cultural and political history that has shaped their identity. For most nations, this history still plays a significant role in their self-perception and self-confidence. For example, [Group 1] was ruled for centuries by [Other Group], [Other Group], or [Other Group]. [Other Group] suffered under Russian and German divisions and occupations. French President Macron recently proudly showed US President Trump Napoleon s tomb.

In our case, the Holocaust created a deep fracture in our historical consciousness. You hear that deeper historical education in schools often barely goes back beyond the Nazis. Are we therefore less nostalgic historically, but because of that more modern and able to mediate in Europe without bias? My book *Nationale Interessen* [National Interests] attempts to give a positive answer.",4,NA,NA,NA,NO,"NO   **No economic threat framing present**. The text discusses historical and cultural identity with no mention of economic well-being (T1), specific threats to Germany/UE (T2), labor market harm (T3), welfare strain/social benefits (T4), or costs/overload (T5).",NO,"NO   Discussion of national identity and historical consciousness only; no mention of economic threats, costs, or public resources related to immigration.",NO,"NO   The text discusses historical identity, cultural heritage, and political self-perception. None of T1–T5 (economic threats, labor market harm, welfare strain, costs, or capacity limits) are explicitly mentioned.",NO,"NO — no economic threat framing linked to immigration. The text discusses only historical and cultural identity, with no references to costs, strain, or resources related to immigration or refugees.",NO,"NO   Historical and political discussion about national identity, no economic threat framing or explicit cost/burden language related to immigration (T1–T5).",NO,5,1
Tonline_added_3e5c2f06a2e4cbec528a3d5df6cf929b82326a69_,T-Online,5,RUS,211,"Two days after his outstanding victory over defending champion Daniil Medvedev, Kyrgios had to concede defeat to [Group 1] Karen Khachanov in a five-set match lasting 3:39 hours, losing 5:7, 6:4, 5:7, 7:6 (7:3) and 4:6. During the match, Wimbledon finalist Kyrgios who made too many unforced errors received treatment on his wrist.

""I ve done it,"" said Khachanov, visibly proud of advancing to his first Grand Slam semifinal. There, he will face Norwegian Casper Ruud. The fifth-seeded Ruud had previously defeated [Other Group] Matteo Berrettini in straight sets, 6:1, 6:4, 7:6 (7:4), becoming the first Norwegian in tournament history to qualify for the semifinals. If he reaches the final, Ruud could take the world No. 1 ranking from [Group 1] Medvedev after the event.

The first women s semifinal pairing is also set: Wimbledon finalist Ons Jabeur will face Carolina Garc a. [Other Group] Garc a delivered a standout performance in her 6:3, 6:4 win over US rising star Coco Gauff (18). Meanwhile, [Other Group] Jabeur advanced with a 6:4, 7:6 (7:4) victory over Australian Ajla Tomljanovi , who had eliminated Serena Williams in the third round.",5,NA,NA,NA,NO,"NO — tennis match reporting with no reference to economic threats, immigration, or resource strain.",NO,"NO   Tennis article contains no references to immigration, economic threats, labor market impacts, or financial strain.",NO,NO   Sports context with no economic or resource-related language linked to immigration.,NO,NO   Text contains no references to immigration (Group 1) or economic threat frames (T1–T5).,NO,"NO   Tennis match reporting with no economic framing, immigration, or cost/burden language—purely sports context.",NO,5,1
632712833dd49b919c0d06c8,FAZ,9,USA,77,"'Who s the one doing it?

**[Group 1]** moralizes infidelity. Cheating is seen as a moral betrayal. But even in Europe, infidelity is the first thing people mention when talking about betrayal! You can live with an alcoholic, you can live with a gambler, even with domestic violence! And no one tells you: Leave this partner! But infidelity has become the ultimate betrayal in a marriage where you thought you d found your soulmate.

So is that why it s such a big deal?'",6,NA,NA,NA,NO,NO   The text discusses moral and social themes of infidelity unrelated to immigration or economic threat frames (T1–T5).,NO,"NO   Text discusses moral/behavioral issues unrelated to economics or resources; no mention of T1–T5 (no costs, financial strain, labor market, welfare, or capacity limits).",NO,"NO   Text discusses infidelity and betrayal, unrelated to economic threat framing or immigration costs.",NO,"NO   Topic is cultural norms regarding infidelity, not linked to any economic threat frame (T1–T5).",NO,"NO   Discussion of infidelity as a moral issue, no mention of costs, expenses, financial pressure, budget strain, or resource scarcity. No economic framing.",NO,5,1
632712a33dd49b919c1a8b5a,T-Online,17,REFUG,74,"**""Pure speculation"": Kaspersky defends itself against allegations
Ukraine War: Ukraine seeks fighters for cyber army
Belgian authorities investigate: Hackers cripple oil terminals across Europe

Additionally, the Chinese state-backed hacker group **""Mustang Panda""** has reportedly begun targeting European organizations more frequently. Using phishing messages related to the Ukraine war, attackers attempt to obtain employees  personal data or internal information. Diplomatic missions and **[Group 1]**- as well as immigration authorities are particularly affected.**",7,NA,NA,NA,NO,"NO   Mention of immigration authorities being targeted does not mention costs, burden, capacity limits, or resource needs (T5). No other threat frame (T1–T4) is present.",NO,"NO   Text describes hacking targets, including immigration authorities, with no mention of cost, burden, financial strain, or resource pressure on German/EU systems. No T1-T5 triggers.",NO,"NO   No mention of any economic threat framing (T1–T5). The text only reports cyberattacks on immigration authorities without any cost, burden, strain, or resource language.",NO,"NO   No economic threat framing: text mentions affected authorities but does NOT state financial burden, cost, resource scarcity, or capacity limits (e.g. ""budget strain,"" ""overload,"" ""shortage"").",NO,"NO   Targeting of immigration authorities by cyberattacks does not describe any costs, capacity limits, or economic threats to Germany/EU; only mentions affected organizations without explicit financial or logistical burden language.",NO,5,1
632712c33dd49b919c26b29d,Telepolis,50,EU,150,"But even in Europe, the situation is becoming increasingly unstable. The social imbalances are being felt more and more sharply. Inequality has grown over the past few decades as a result of neoliberal policies. This trend was accelerated by the 2008 global financial crisis, when bank collapses shook the already fragile foundations of the Eurozone structure.

The political response to this deepened social divisions and followed the familiar *nanny-state* mantra: privatize profits, socialize losses and damages. While banks and those with substantial financial wealth were bailed out, austerity measures led by Germany forced many [Group 1] to tighten their belts. The Troika s assault on the welfare state, as predicted, increased poverty in the Union, destroyed economic development, and wiped out jobs in affected countries and regions.

A study by the investment monitor *Europe s growing inequality problem* concluded, following the Covid-19 pandemic but before the Ukraine war, in January of this year:",8,NA,NA,NA,YES,T5: 'forced many [Group 1] to tighten their belts' implies **T5-implied strain on public finances**—the 'austerity measures led by Germany' and 'wiped out jobs in affected countries' frame immigration-affected populations as a burden on the EU's economic and social systems.,NO,NO   General socioeconomic critique of EU policies and inequality **not** linked to immigration or immigrants as a causal factor.,NO,"NO   General economic hardship (austerity, inequality, job loss) is **not explicitly linked** to immigration as a cause; no T1–T5 language is present. Criticism targets neoliberal policy, bank bailouts, and Troika actions—not immigrant-driven economic threats.",NO,"NO   The paragraph describes **macro-economic inequality, austerity measures, and job losses in affected EU countries**—all linked to neoliberal policies, the 2008 crisis, and the Troika—but **no explicit mention of immigration as a cause or driver of any of T1–T5**. The core issue is structural economic policy, not a framing of immigration as a threat to German/EU finances or labor markets.",NO,"NO   Neither immigration nor refugees are the explicit cause of the described economic pressures (neoliberal policies, bank bailouts, Troika austerity, or COVID-19 are named, but not tied to T1–T5). No mention of T1–T5 criteria in the context of immigration.",NO,4,0.8
WAZ-40946CBB085F4265202361D7DDDD603D_3740995,WAZ,3,UKR,196,"**""Berlin: Bombed-out schools and apartment blocks, burning factories, people fleeing with just a few belongings: On July 24, the war in Ukraine has already lasted five months with no end in sight. What has this armed conflict brought so far for Ukraine and Russia? A balance sheet in military, economic, and political terms.

**Military:**
20,000 dead [Other Group] and [Group 1]. For Hans-Lothar Domr se, a former Bundeswehr general and head of a NATO command, the balance sheet is catastrophic. *""The war has brought only death, suffering, and displacement. No one has truly gained anything. Many Russian soldiers have fallen, been wounded, or gone missing. In Ukraine, too, there are many dead, and the infrastructure is destroyed over vast areas. Millions of people are on the run. The [Other Group] have made hardly any territorial gains,""* Domr se told our editorial team.

The human and material losses on both sides are immense. According to assessments by U.S. intelligence agencies, around 15,000 Russian soldiers have been killed in the war so far. The number of wounded, according to CIA Director William Burns, is roughly three times as high. The government in Kyiv stated in June that between 100 and 200 Ukrainian soldiers are dying daily. *""According to estimates, the [Group 1] have lost about 5,000 soldiers, with around 50,000 wounded,""* said former General Domr se.**",9,NA,NA,NA,NO,"NO   The text describes military losses and infrastructure destruction in Ukraine only; no reference to German or EU economic threats (T2), labor market harm (T3), welfare strain (T4), or explicit cost/overload language (T5) related to immigration.",NO,"NO   War and refugee displacement not framed as financial burden on receiving society; no explicit mention of costs, strain on public finances, or resource overload for Germany/EU. Humanitarian effects on Ukraine and Russia only.",NO,"NO   Logistical reporting (war damage) without any mention of German/EU costs, resource strain, or capacity limits. No explicit economic threat frame.",NO,"NO   The text describes human and material losses due to war in Ukraine, including displaced persons leaving the country (not arriving in Germany/EU). No mention of economic strain, financial costs, or resource limits linked to immigration into Germany or the EU.",NO,"NO   War/conflict reporting with no economic framing linked to immigration; displacement and losses are humanitarian outcomes, not framed as a financial burden or resource strain on Germany/EU.",NO,5,1
KN-doc7k9z7wr4tvn10ntkkm2p,KN,7,REFUG,115,"According to reports, the Federal Employment Agency (*Bundesagentur f r Arbeit*) and the regional Job Centers are already holding discussions at all levels with their established network partners. Because: All parties involved have extensive experience in placing refugees in employment. ""The existing contacts and cooperations from the period of massive refugee migration in 2015 and 2016 have proven particularly helpful,"" says **Klink**.

In the coming weeks, the Employment Agency will primarily need to clarify the situation regarding language skills, qualifications, and availability for the labor market among **[Group 1]**.

The Employment Agency has provided information for **[Group 1]** (also in Ukrainian): [www.arbeitsagentur.de/ukraine](http://www.arbeitsagentur.de/ukraine). The recognition of professional qualifications from Ukraine is handled by the counseling centers of the **IQ Network**: [www.netzwerk-iq.de](http://www.netzwerk-iq.de).",10,NA,NA,NA,NO,"NO   The text discusses labor market integration efforts (language skills, qualifications, availability) and refers to existing contacts and cooperation from prior migration—but no explicit mention of wage depression (T3), taxpayer burden or financial strain (T4), costs (T5), or economic threat to well-being (T1 or T2). No euro amounts, no explicit references to 'burden,' 'overload,' or financial pressure.",NO,"NO   Logistics reporting + employment integration context: no costs, burdens, shortages, or capacity limits stated; no explicit financial pressure or need for more resources (e.g. euro amounts, ""overload,"" ""financial pressure"") present.",NO,"NO   No explicit mention of T1–T5. The text discusses existing networks, language skills, and qualification recognition but contains no cost, burden, strain, or capacity language, nor does it mention euros, financial limits, or resource shortages. Pure administrative coordination.",NO,"NO   Text describes existing networks, partner discussions, and qualification recognition processes—no mention of labor market harm (T3), welfare strain (T4), or specific financial burdens, costs, or capacity limits (T5). The phrase *""extensive experience""* and *""existing contacts""* refer to logistical preparedness, not economic threat framing. No sub-criterion T1–T5 applies.",NO,"NO   Logistical preparations involving established network partners and language qualifications assessment; no explicit mention of **costs, financial pressure, wage depression, unemployment displacement, welfare strain, or capacity overload** (only language skills and qualifications). No T1–T5 criteria triggered.",NO,5,1
