article_id,pub,par_index,group,length,text_block_english,row_num,threat_human,benefit_human,notes
633a7b47a5224ed9a50038ef,Tag24,6,MUSL,101,"At the **Cologne Central Mosque** of the **DİTİB**, the program included guided tours, lectures such as *""Mosques between Climate Crisis and Transformation""* as well as a *""Resource Trail for Young and Old.""*

The **Central Council of [Group 1]** (**ZMD**) also emphasized that under the motto *""scant resources – great responsibility,""* awareness should be raised for a sustainable and climate-adapted way of life. To combat climate change, it requires profound structural changes as well as behavioral adjustments—also within **Group 1**, mosques, and Muslim institutions.

The **ZMD** initiated the **Day of the Open Mosque** in 1997—as a deliberate sign of belonging and solidarity on **October 3rd**, the **Day of German Unity**.",1,,,
632712b23dd49b919c2046e5,Merkur,69,RUS,71,"**First Round:** The wind is now causing the first interruption.

**First Round:** [Group 1] Irma Makhina now takes a clear lead. She also posts the best jump so far with **90 meters**.

**First Round:** We still have to wait a little for the first German. Selina Freitag has bib number **19**, directly after her comes Julian Seyfarth. Pauline Heßler follows with **24**, and Katharina Althaus will close the first round!",2,,,
LVZ-doc7o6fddrgidxw60a2oc3,LVZ,20,PRT,127,"**Season 2021/2022**

**André Silva (until 2026):** In *Mainhattan*, they still miss Silva’s goals today. For his part, Silva missed the appreciation from the Portuguese national team coach at the World Cup—after all, his playing time in Qatar was rather meager. Yet, the hardworking [Group 1] player thrived under Rose and has proven his worth even without his beloved goals.

**Josko Gvardiol (until 2027):** Currently, alongside Nkunku, the jewel of RB. Leipzig sent the comparatively affordable 18.8 million to Zagreb just over a year and a half ago. Now, over 100 million are circulating as a transfer fee for the Croatian national defender. The World Cup stage has also played a role. Chelsea (preferably immediately) and Real Madrid (next summer) are seen as serious suitors. According to reports, an exit clause worth 112 million euros is set to activate in the summer of 2024. One thing is already clear: a top deal.",3,,,
632712ad3dd49b919c1e366d,Welt,6,HUN,149,"**WELT:** Mr. von Dohnanyi, you have been engaged for some time with the search for a German identity: Who are we Germans today?

**Klaus von Dohnanyi:** All European nations have a long cultural and political history that has shaped their identity. For most nations, this history still plays a significant role in their self-perception and self-confidence. For example, [Group 1] was ruled for centuries by [Other Group], [Other Group], or [Other Group]. [Other Group] suffered under Russian and German divisions and occupations. French President Macron recently proudly showed US President Trump Napoleon’s tomb.

In our case, the Holocaust created a deep fracture in our historical consciousness. You hear that deeper historical education in schools often barely goes back beyond the Nazis. Are we therefore less nostalgic historically, but because of that more modern and able to mediate in Europe without bias? My book *Nationale Interessen* [National Interests] attempts to give a positive answer.",4,,,
Tonline_added_3e5c2f06a2e4cbec528a3d5df6cf929b82326a69_,T-Online,5,RUS,211,"Two days after his outstanding victory over defending champion Daniil Medvedev, Kyrgios had to concede defeat to [Group 1] Karen Khachanov in a five-set match lasting 3:39 hours, losing 5:7, 6:4, 5:7, 7:6 (7:3) and 4:6. During the match, Wimbledon finalist Kyrgios—who made too many unforced errors—received treatment on his wrist.

""I’ve done it,"" said Khachanov, visibly proud of advancing to his first Grand Slam semifinal. There, he will face Norwegian Casper Ruud. The fifth-seeded Ruud had previously defeated [Other Group] Matteo Berrettini in straight sets, 6:1, 6:4, 7:6 (7:4), becoming the first Norwegian in tournament history to qualify for the semifinals. If he reaches the final, Ruud could take the world No. 1 ranking from [Group 1] Medvedev after the event.

The first women’s semifinal pairing is also set: Wimbledon finalist Ons Jabeur will face Carolina García. [Other Group] García delivered a standout performance in her 6:3, 6:4 win over US rising star Coco Gauff (18). Meanwhile, [Other Group] Jabeur advanced with a 6:4, 7:6 (7:4) victory over Australian Ajla Tomljanović, who had eliminated Serena Williams in the third round.",5,,,
632712833dd49b919c0d06c8,FAZ,9,USA,77,"'Who’s the one doing it?

**[Group 1]** moralizes infidelity. Cheating is seen as a moral betrayal. But even in Europe, infidelity is the first thing people mention when talking about betrayal! You can live with an alcoholic, you can live with a gambler, even with domestic violence! And no one tells you: Leave this partner! But infidelity has become the ultimate betrayal in a marriage where you thought you’d found your soulmate.

So is that why it’s such a big deal?'",6,,,
632712a33dd49b919c1a8b5a,T-Online,17,REFUG,74,"**""Pure speculation"": Kaspersky defends itself against allegations
Ukraine War: Ukraine seeks fighters for cyber army
Belgian authorities investigate: Hackers cripple oil terminals across Europe

Additionally, the Chinese state-backed hacker group **""Mustang Panda""** has reportedly begun targeting European organizations more frequently. Using phishing messages related to the Ukraine war, attackers attempt to obtain employees’ personal data or internal information. Diplomatic missions and **[Group 1]**- as well as immigration authorities are particularly affected.**",7,,,
632712c33dd49b919c26b29d,Telepolis,50,EU,150,"But even in Europe, the situation is becoming increasingly unstable. The social imbalances are being felt more and more sharply. Inequality has grown over the past few decades as a result of neoliberal policies. This trend was accelerated by the 2008 global financial crisis, when bank collapses shook the already fragile foundations of the Eurozone structure.

The political response to this deepened social divisions and followed the familiar *nanny-state* mantra: privatize profits, socialize losses and damages. While banks and those with substantial financial wealth were bailed out, austerity measures—led by Germany—forced many [Group 1] to tighten their belts. The Troika’s assault on the welfare state, as predicted, increased poverty in the Union, destroyed economic development, and wiped out jobs in affected countries and regions.

A study by the investment monitor *Europe’s growing inequality problem* concluded, following the Covid-19 pandemic but before the Ukraine war, in January of this year:",8,,,
WAZ-40946CBB085F4265202361D7DDDD603D_3740995,WAZ,3,UKR,196,"**""Berlin: Bombed-out schools and apartment blocks, burning factories, people fleeing with just a few belongings: On July 24, the war in Ukraine has already lasted five months—with no end in sight. What has this armed conflict brought so far for Ukraine and Russia? A balance sheet in military, economic, and political terms.

**Military:**
20,000 dead [Other Group] and [Group 1]. For Hans-Lothar Domröse, a former Bundeswehr general and head of a NATO command, the balance sheet is catastrophic. *""The war has brought only death, suffering, and displacement. No one has truly gained anything. Many Russian soldiers have fallen, been wounded, or gone missing. In Ukraine, too, there are many dead, and the infrastructure is destroyed over vast areas. Millions of people are on the run. The [Other Group] have made hardly any territorial gains,""* Domröse told our editorial team.

The human and material losses on both sides are immense. According to assessments by U.S. intelligence agencies, around 15,000 Russian soldiers have been killed in the war so far. The number of wounded, according to CIA Director William Burns, is roughly three times as high. The government in Kyiv stated in June that between 100 and 200 Ukrainian soldiers are dying daily. *""According to estimates, the [Group 1] have lost about 5,000 soldiers, with around 50,000 wounded,""* said former General Domröse.**",9,,,
KN-doc7k9z7wr4tvn10ntkkm2p,KN,7,REFUG,115,"According to reports, the Federal Employment Agency (*Bundesagentur für Arbeit*) and the regional Job Centers are already holding discussions at all levels with their established network partners. Because: All parties involved have extensive experience in placing refugees in employment. ""The existing contacts and cooperations from the period of massive refugee migration in 2015 and 2016 have proven particularly helpful,"" says **Klink**.

In the coming weeks, the Employment Agency will primarily need to clarify the situation regarding language skills, qualifications, and availability for the labor market among **[Group 1]**.

The Employment Agency has provided information for **[Group 1]** (also in Ukrainian): [www.arbeitsagentur.de/ukraine](http://www.arbeitsagentur.de/ukraine). The recognition of professional qualifications from Ukraine is handled by the counseling centers of the **IQ Network**: [www.netzwerk-iq.de](http://www.netzwerk-iq.de).",10,,,
