pub,n,threat_pct,benefit_pct,both_pct,neither_pct
SZ,718,8.1,4.9,1.8,88.9
Merkur,632,7.9,4.6,0.9,88.4
Focus,609,4.1,2.1,0.5,94.3
T-Online,540,2.8,2.4,0.6,95.4
Welt,499,6.8,3.2,1.2,91.2
Spiegel,480,3.5,2.5,0.4,94.4
FAZ,451,5.8,3.1,1.1,92.2
NTV,399,3.5,1.3,0.3,95.5
WAZ,355,12.1,5.1,2.5,85.4
HNA,327,6.1,3.1,0.9,91.7
Berliner Morgenpost,322,6.2,6.2,1.9,89.4
Bild,305,3.6,0.3,0.3,96.4
RND,295,8.8,5.1,2,88.1
nordbayern.de,293,7.8,3.4,0.7,89.4
Tagesspiegel,289,3.8,3.8,0.7,93.1
Stern,277,3.2,2.9,1.4,95.3
TAZ,246,10.6,7.3,2.4,84.6
Weser Kurier,228,5.7,3.9,0.9,91.2
OSZ,227,13.2,11.5,3.1,78.4
TA,221,20.4,6.8,4.1,76.9
Tag24,166,6.6,3,0,90.4
KN,161,9.3,5.6,1.2,86.3
Berliner Zeitung,159,6.3,3.8,0,89.9
LVZ,159,10.1,6.9,2.5,85.5
MAZ,137,8,7.3,1.5,86.1
Handelsblatt,135,9.6,11.1,6.7,85.9
Tagesschau,120,8.3,5.8,2.5,88.3
BADZ,116,8.6,4.3,0,87.1
Telepolis,91,1.1,2.2,0,96.7
Tichys Einblick,90,20,6.7,4.4,77.8
Stuttgarter Zeitung,88,3.4,4.5,1.1,93.2
Neues Deutschland,87,5.7,3.4,1.1,92
Jouwatch,80,31.2,3.8,2.5,67.5
Epoch Times,75,8,10.7,0,81.3
Achse des Guten,62,8.1,0,0,91.9
Junge Freiheit,60,11.7,3.3,1.7,86.7
MOPO,54,11.1,1.9,0,87
Nachdenkseiten,47,8.5,6.4,6.4,91.5
Pravda TV,44,6.8,0,0,93.2
Rubikon,44,0,2.3,0,97.7
Freie Welt,33,18.2,12.1,9.1,78.8
PI News,31,16.1,0,0,83.9
Freitag,30,6.7,0,0,93.3
Zuerst,28,10.7,0,0,89.3
Compact,26,19.2,7.7,3.8,76.9
DWN,23,0,8.7,0,91.3
Mmnews,22,22.7,9.1,4.5,72.7
Junge Welt,19,5.3,5.3,0,89.5
DieUnbestechlichen,18,11.1,0,0,88.9
Red Globe,14,0,7.1,0,92.9
Klasse gegen Klasse,13,30.8,23.1,15.4,61.5
NeoPresse,12,16.7,8.3,8.3,83.3
Opposition24,12,8.3,0,0,91.7
Politplatschquatsch,12,0,0,0,100
Free21,10,0,0,0,100
Jacobin,3,0,0,0,100
akweb,3,0,0,0,100
lowerclassmagazine,2,0,50,0,50
Vice,1,0,0,0,100
