article_id,pub,par_index,group,length,text_block_german,text_block_english,row_num,labels_run1,labels_run2,labels_run3,labels_run4,labels_run5,majority_label,majority_count,agreement
KN-doc7k9z7wr4tvn10ntkkm2p,KN,7,REFUG,115,"Die Bundesagentur für Arbeit und die regionalen Jobcenter führen den Angaben zufolge bereits auf allen Ebenen Gespräche mit den etablierten Netzwerkpartnern. Denn: Für die Vermittlung von Arbeitskräften aus Fluchtmigration lägen bei allen Beteiligten umfangreiche Erfahrungen vor. ""Die bestehenden Kontakte und Kooperationen aus der Zeit der massiven Fluchtmigration von 2015 und 2016 sind dabei ausgesprochen hilfreich"", sagt Klink.

In den kommenden Wochen werde die Arbeitsagentur vor allem klären müssen, wie es bei den [Gruppe 1] um Sprachkenntnisse, Qualifikationen oder auch die Verfügbarkeit für den Arbeitsmarkt bestellt ist.

Das Arbeitsamt hat Informationen für die [Gruppe 1] (auch auf Ukrainisch): www.arbeitsagentur.de/ukraine. Die Anerkennung von Berufsabschlüssen aus der Ukraine erfolgt über die Beratungsstellen des IQ-Netzwerks: www.netzwerk-iq.de","According to reports, the Federal Employment Agency (*Bundesagentur für Arbeit*) and the regional Job Centers are already holding discussions at all levels with their established network partners. Because: All parties involved have extensive experience in placing refugees in employment. ""The existing contacts and cooperations from the period of massive refugee migration in 2015 and 2016 have proven particularly helpful,"" says **Klink**.

In the coming weeks, the Employment Agency will primarily need to clarify the situation regarding language skills, qualifications, and availability for the labor market among **[Group 1]**.

The Employment Agency has provided information for **[Group 1]** (also in Ukrainian): [www.arbeitsagentur.de/ukraine](http://www.arbeitsagentur.de/ukraine). The recognition of professional qualifications from Ukraine is handled by the counseling centers of the **IQ Network**: [www.netzwerk-iq.de](http://www.netzwerk-iq.de).",4771,**YES**,**YES**,**NO**,**NO**,**YES**,YES,3,0.6
632712b33dd49b919c20a7e2,Merkur,7,REFUG,70,"Weitere Wohnmöglichkeiten müssten Städte zudem schnell anmieten können. „Dazu müssen wir wissen, bis zu welcher Höhe die Miete übernommen wird“, sagte die Städtetagssprecherin. „Manche Städte sind bereit, selbst zu investieren, sie müssen aber die Rahmenbedingungen kennen.“

Der Angriffskrieg Russlands gegen die Ukraine hatte am 24. Februar begonnen. Bis zum Dienstag wurden laut Justizministerium 1500 [Gruppe 1] im Südwesten registriert. Seit Ende der vergangenen Woche steigt ihre Zahl stark an. dpa

","Cities would also need to be able to rent additional housing options quickly. „For that, we need to know up to what amount the rent will be covered,“ said the spokesperson for the *Städtetag*. „Some cities are willing to invest themselves, but they need to know the framework conditions.“

Russia’s war of aggression against Ukraine began on February 24th. By Tuesday, the Federal Ministry of Justice had registered 1,500 [Group 1] in the southwest. Their numbers have been rising sharply since the end of last week. dpa",8368,YES**,**NO**,**NO**,**YES**,**NO**,NO,3,0.6
632712af3dd49b919c1f262e,Weser Kurier,13,REFUG,188,"Zudem habe ein Großteil der [Gruppe 1] internationalen Studierenden in der Ukraine Medizin studiert. Die Zugangsbarrieren dazu seien hierzulande hoch und die Zahl der Plätze für internationale Studierende in Hamburg begrenzt. „Wir bewegen uns hier in einem Rahmen von unter 20.“ Manche [Gruppe 1] versuchten deshalb, in anderen EU-Ländern einen Studienplatz zu bekommen. Andere überlegten den Wechsel in medizin-verwandte Studiengänge oder auch in Ausbildungsberufe im Gesundheitsbereich.

Anders als andere internationale Studierende, die sich im Heimatland auf ein Auslandsstudium vorbereiten könnten, seien [Gruppe 1] vor „viel elementarere Probleme gestellt“, sagte Hesse. „Es geht um Fragen wie Unterbringung und Versorgung. Außerdem kann eine Flucht traumatisierend sein.“ Vor diesem Hintergrund sehe sie eine Lücke zwischen Anspruch und Wirklichkeit: „Die Erwartungen, dass die Voraussetzung für eine Studienaufnahme in einem halben Jahr erfüllt sind, sind schwierig.“

Durch die Möglichkeit, zumindest für ein halbes Jahr gesichert hier bleiben zu können, um die Aufnahme eines Studiums vorzubereiten, gebe es unter den internationalen Studierenden aus der Ukraine ein großes Interesse, nach Hamburg zu kommen, sagte Hesse. „Wir erhalten sehr, sehr viele Anfragen auch von Personen, die sich aktuell noch gar nicht in Hamburg befinden.“","Moreover, a large proportion of the [Group 1] international students in Ukraine studied medicine. The access barriers here are high, and the number of places available for international students in Hamburg is limited. **""We’re operating within a framework of under 20.""** Some [Group 1] students therefore try to secure a study place in other EU countries, while others consider switching to related medical degree programs or vocational training in the healthcare sector.

Unlike other international students who could prepare for their studies abroad in their home countries, [Group 1] face **""far more fundamental problems,""** said Hesse. **""This is about accommodation and basic needs. Additionally, fleeing can be traumatic.""** Against this backdrop, she sees a gap between expectations and reality: **""The assumption that the requirements for starting a degree can be met within half a year is difficult to fulfill.""**

Thanks to the possibility of staying here securely for at least six months to prepare for university admission, there is a strong interest among international students from Ukraine to come to Hamburg, Hesse said. **""We receive an extremely high number of inquiries—even from people who are not currently in Hamburg at all.""**",5267,**YES**,**NO**,**YES**,**NO**,**YES**,YES,3,0.6
632712b83dd49b919c223bad,Merkur,4,FRA,134,"Es ist schon perfide, wenn die Bremser der Energiewende sich hinstellen und die erneuerbaren Energien für das jetzige Energiedesaster verantwortlich machen. Wäre die Energiewende nicht von den „Ewiggestrigen“ (AfD, FDP und große Teile der Union) ausgebremst worden, stünden wir jetzt wesentlich besser da. Immerhin sorgen Sonne und Wind derzeit dafür, dass die Börsenstrompreise in Deutschland nur ein Drittel so hoch wie in Frankreich sind.

Und die [Gruppe 1], die angesichts des Desasters mit ihren AKWs (mehr als die Hälfte der „so zuverlässigen“ Kraftwerke steht derzeit still) unter akuter Strom-Not leiden, sind froh, aus Deutschland mit relativ günstigem Strom aus erneuerbaren Energien versorgt zu werden. Herr Weiss stellt die abstruse These auf, die Natur hätte Kohle, Öl und Gas erzeugt, damit wir sie verbrennen können. Und uns damit (CO2, Klimawandel) die zukünftige Lebensgrundlage zerstören.

","It’s already perfidious when the brakes on the energy transition step forward and blame renewable energy for the current energy disaster. If the energy transition hadn’t been sabotaged by the „diehard traditionalists“ (AfD, FDP, and large parts of the Union), we’d be in a much better position now. After all, right now, the sun and wind are ensuring that German wholesale electricity prices are only one-third as high as in France.

And the [Group 1]—who are suffering from acute power shortages due to their nuclear plants (more than half of the „so reliable“ power plants are currently offline)—are glad to be supplied with relatively cheap electricity from renewables from Germany.

Mr. Weiss puts forward the absurd theory that nature produced coal, oil, and gas so that we could burn them—and thereby (CO₂, climate change) destroy our future basis for life.",8674,**YES**,YES**,**YES**,**YES**,YES**,YES,3,0.6
632712c33dd49b919c26b29d,Telepolis,50,EU,150,"Aber auch in Europa wird die Lage zunehmend instabil. Die sozialen Schieflagen sind immer deutlicher zu spüren. Die Ungleichheit ist im Zuge neoliberaler Politiken in den letzten Jahrzehnten angewachsen. Durchlauferhitzt wurde diese Tendenz durch die Weltfinanzkrise 2008, bei der Bankencrashs das an sich schon morsche Eurozonen-Gebäude in den Fundamenten erschütterten.

Die politische Reaktion darauf beförderte soziale Spaltungen und verlief nach dem altbekannten Nanny-State-Motto: Gewinne privatisieren, Verluste und Schäden sozialisieren. Während Banken und die, die über große Finanzvermögen verfügen, gerettet wurden, sorgten Spardiktate unter deutscher Führung dafür, dass viele [Gruppe 1]:innen den Gürtel enger schnallen mussten. Der Troika-Angriff auf den Wohlfahrtsstaat vergrößerte wie prognostiziert Armut in der Union, vernichtete wirtschaftliche Entwicklung und eliminierte Jobs in betroffenen Ländern und Regionen.

Ein Studie des Investmentmonitors ""Europe’s growing inequality problem"" kommt nach der Covid-19-Pandemie, aber noch vor dem Ukraine-Krieg im Januar diesen Jahres zu dem Ergebnis:","But even in Europe, the situation is becoming increasingly unstable. The social imbalances are being felt more and more sharply. Inequality has grown over the past few decades as a result of neoliberal policies. This trend was accelerated by the 2008 global financial crisis, when bank collapses shook the already fragile foundations of the Eurozone structure.

The political response to this deepened social divisions and followed the familiar *nanny-state* mantra: privatize profits, socialize losses and damages. While banks and those with substantial financial wealth were bailed out, austerity measures—led by Germany—forced many [Group 1] to tighten their belts. The Troika’s assault on the welfare state, as predicted, increased poverty in the Union, destroyed economic development, and wiped out jobs in affected countries and regions.

A study by the investment monitor *Europe’s growing inequality problem* concluded, following the Covid-19 pandemic but before the Ukraine war, in January of this year:",8995,**YES**,**YES**,**YES**,YES**,**YES**,YES,4,0.8
6327128a3dd49b919c103ea1,Jouwatch,21,SRB,664,"+++ Überhaupt der Herr Putin: Landauf, landab erscheinen Artikel, die sich mit Herrn Putin beschäftigen. Sitzt er im Bunker? Tickt er noch richtig? Angeblich hat er sich drei Mal impfen lassen. Hat er eine hysterische Virenphobie? – Eine deutsche Frage, ausgerechnet. Die schönste aller Feststellungen: Herrn Putins weißer Verhandlungstisch ist so lang, weil er vor Viren Angst hat. Ein inexistenter Experte für Möbel & Inneneinrichtung erklärte, für den langen Tisch gebe es eine sehr viel einleuchtendere Erklärung: Die Macht der Bilder. Im Kreml habe man natürlich gewußt, daß die Bilder von Putin und bspw. Macron, aber auch Scholz, um die Welt gehen würden. Sie sollten “maximale Distanz in der Sache” bei den Verhandlungen signalisieren, also wie eine Warnung funktionieren. Daß Wladimir Putin an keiner Virenphobie leide, habe man sehen können, als Jair Bolsonaro ihm seine Aufwartung machte. Putin und Bolsonaro hätten an einem kleinen Couchtischchen zwischen sich miteinander geredet. Der Vorteil einer Beschäftigung mit Putin liege übrigens auf der Hand: So lange man sich den Kopf über Putin zerbreche, brauche man ihn sich nicht über die eigenen “Bündnispartner” oder gar sich selbst zu zerbrechen. Das dürfe man sich heraussuchen in der ganz wahnsinnig freien Welt mit ihrer formidablen Demokratie. Das wiederum habe durchaus etwas für sich. +++

+++ Putins langer Tisch regte auch die Ratsvorsitzende der evangelischen Kirche, Frau Anette Kurschus, zu tiefer Besinnlichkeit an. Die fromme Frau Ratsvorsitzende: “Der Abendmahlstisch ist mein Hoffnungsbild. Er ist mein Gegenbild zum Tisch im Kreml”. Ein inexistenter Experte für politisierende Kleriker erklärte daraufhin, die hochaggressive “Friedlichkeit” dieser Realitätsverweigerer im Dienste ihrer Eigenwahrnehmung gehe ihm schon länger auf den Sack, als Frau Göring-Eckardt. Wenn Frau Kurschus wolle, würde sie ihren Abendmahlstisch wahrscheinlich jederzeit in der Ukraine aufstellen dürfen, um mit den Mördern der Swoboda-Partei, der Asow-Regimenter und des rechten Sektors sowie dem Herrn Präsidenten Selenskyi zusammen “das Brot zu brechen”. Die [Gruppe 1] und die [Andere Gruppe] seien vermutlich auch schon ganz heiß darauf, mit Frau Kurschus zusammen recht fromm zu dinieren. +++

+++ Der Frieden ist ein Wunsch, der Krieg hingegen eine Tatsache, meinte Oswald Spengler einst. Nicht gesagt hat er, daß der Krieg keine Scheußlichkeit sei. Das ist er ganz ohne Frage. Jedes Kriegsopfer ist eines zu viel. Der Krieg ist dennoch eine Tatsache seit Menschengedenken, und die Hoffnung, daß es jemals keinen Krieg mehr geben könnte, eine Illusion. Es wäre daher wichtig, den Krieg so schnell wie möglich auszutrocknen, wenn irgendwo einer stattfindet, anstatt Öl ins Feuer zu gießen. Ein inexistenter Experte für Aufrichtigkeit und effektiven Frieden merkte an, wenn der Krieg ansich schon die Scheußlichkeit überhaupt sei, dann handle es sich bei jedem, der ihn mit Waffenlieferungen unterstützt, während er gleichzeitig um die Opfer eines solchen Krieges weint, um einen gottverdammten Heuchler. Ob die Ukraine unter russische Aufsicht gestellt werde, sei eine nachrangige Frage angesichts der Opfer, die es zu vermeiden gelte. Alles sei besser, als diese Scheußlichkeit. Der Westen weigere sich auf Kosten dieser Opfer, sich einzugestehen, daß er zu hoch gepokert und verloren hat. Dieser Krieg wäre hundert Mal zu vermeiden gewesen. Es handle sich direkt um einen zynischen Sadismus der friedfertigen Scheinheiligen, einerseits um das destruktive Potential des Menschen Bescheid zu wissen, und ihn dennoch so lange zu provozieren, bis er sein destruktives Potential tatsächlich hervorkehrt, und nur, um ihn dann – und ihn ganz allein – für die Katastrophe zu verurteilen, die unweigerliche Folge dessen ist. Es stimme schon: Wer Hass sät, wird Gewalt ernten. Ehernes Gesetz, unabänderlich. Allerdings läge zwischen Aussaat und Ernte die Zeit des Wachstums. Wer sieht, wie der Hass zwischen Aussaat und Ernte wächst und gedeiht, ohne etwas dagegen zu unternehmen, der brauche sich über die Ernte nicht zu beschweren. Der Gipfel der Perfidie sei es, den Hund in die Ecke zu drängen, um ihn dann zu erschlagen, weil er gebissen hat. Wer heute im NATO-Gebiet aus nachvollziehbaren Gründen über die Opfer in der Ukraine weint, solle sich erst einmal an der eigenen Nase fassen, anstatt sich über Putins Tisch selbstexkulpatorische Gedanken zu machen. Nur deswegen mache er sie sich schließlich. +++","+++ As for Mr. Putin: Articles about him keep popping up everywhere. Is he hiding in a bunker? Is he still in his right mind? Apparently, he’s had three vaccinations. Does he suffer from hysterical virophobia? – A German question, of all things. The most delightful conclusion: Mr. Putin’s white negotiating table is so long because he’s afraid of viruses. A nonexistent expert on furniture and interior design explained that there’s a far more plausible reason for the long table: the power of imagery. In the Kremlin, they certainly knew that images of Putin and, for example, Macron, as well as Scholz, would circulate around the world. They were meant to signal “maximum distance in substance” during negotiations, functioning almost like a warning. That Vladimir Putin doesn’t suffer from virophobia was evident when Jair Bolsonaro paid him a visit. Putin and Bolsonaro conversed at a small coffee table between them. The advantage of obsessing over Putin is obvious: as long as one’s mind is preoccupied with Putin, one doesn’t have to waste it on one’s own “allies” or, God forbid, oneself. One can pick and choose in this wonderfully free world with its formidable democracy. That, in itself, has its merits. +++

+++ Putin’s long table also prompted deep reflection from Anette Kurschus, chair of the Evangelical Church’s council. The pious church leader said: *“The Lord’s Table is my image of hope. It is my counter-image to the table in the Kremlin.”* A nonexistent expert on politicizing clergy remarked that the aggressively “peaceful” reality-denial of these self-perception servants had been grating on his nerves longer than Frau Göring-Eckardt. If Frau Kurschus wanted to, she could probably set up her Lord’s Table in Ukraine anytime to “break bread” with the killers of the Svoboda Party, the Azov Regiment, and the far-right sector, as well as President Zelensky. The [Group 1] and the [Other Group] were presumably already eagerly awaiting the chance to dine with Frau Kurschus in a most pious manner. +++

+++ Peace is a wish, but war is a fact, Oswald Spengler once said. He didn’t say that war isn’t an abomination. It is, without a doubt. Every war victim is one too many. War has been a fact since time immemorial, and the hope that there will never be war again is an illusion. Therefore, it would be crucial to dry up war as quickly as possible wherever it occurs, instead of pouring oil on the fire. A nonexistent expert on sincerity and effective peace noted that if war itself is the ultimate abomination, then anyone who supplies it with weapons while simultaneously weeping over its victims is a goddamned hypocrite. Whether Ukraine ends up under Russian control is a secondary question compared to the victims that must be avoided. Anything is better than this abomination. The West refuses to acknowledge, at the cost of these victims, that it overplayed its hand and lost. This war could have been avoided a hundred times over. It’s outright cynical sadism from these so-called peace-loving hypocrites—knowing full well about humanity’s destructive potential and still provoking it until it unleashes that potential, only to then condemn *it alone* for the inevitable catastrophe that follows. It’s true: those who sow hatred will reap violence. An iron law, unchangeable. However, there’s a period of growth between sowing and harvest. Anyone who watches hatred grow and thrive between sowing and harvest without doing anything about it shouldn’t complain about the harvest. The pinnacle of perfidy is cornering the dog and then killing it for biting. Anyone today in NATO territory who, for understandable reasons, weeps over the victims in Ukraine should first look in the mirror instead of indulging in self-exculpatory thoughts about Putin’s table. After all, that’s why they’re making them in the first place. +++",5502,**NO**,NO**,**NO**,**NO**,**NO**,NO,4,0.8
Focus_added_4af6a1d6601cffb9e0c0ffb28dbd0390cd9d6446_,Focus,5,RUS,150,"Im Moskauer Einkaufszentrum Jewropejski am Kiewer Bahnhof stehen Boutiquen von Dior, Chanel und Swarovski leer. Tausende westliche Firmen haben ihre Repräsentanzen in Russland wegen Moskaus Krieg gegen die Ukraine abgestoßen, weil die Sanktionen der EU und der USA Geschäfte erschweren oder unmöglich machen. Zahlreiche Einkaufszentren stünden vor dem Bankrott, sagt der Wirtschaftsprofessor Kirill Kulakow. Schon durch die Schließungen während der Pandemie seien viele in die Schieflage geraten.

«Die Probleme haben sich nun nach Beginn der militärischen Spezialoperation in der Ukraine und wegen der sinkenden Kaufkraft der Bevölkerung verschärft», sagte er in einem Radiointerview. Kulakow erwartet, dass sich die Lage zuspitzt. Viele [Gruppe 1] haben durch den Abzug westlicher Unternehmen und Investoren ihre Jobs verloren. Aber auch bei denen, die Arbeit haben, ist wegen der Inflation von etwa 15 Prozent das Geld knapp, weil Lebensmittel und andere Waren des täglichen Bedarfs immer teurer werden.

Wie ist die Stimmung in den Großstädten?","In the **Moscow** shopping center **Jewropejski** near **Kievsky Railway Station**, boutiques from **Dior**, **Chanel**, and **Swarovski** stand empty. Thousands of Western companies have abandoned their Russian operations due to **Moscow’s war against Ukraine**, as **EU** and **US** sanctions have made or nearly made business impossible. Many shopping centers are facing bankruptcy, says economist **Kirill Kulakow**. Many had already fallen into financial trouble due to closures during the pandemic.

*«The problems have now worsened since the start of the military special operation in Ukraine and because of the declining purchasing power of the population»,* he said in a radio interview. Kulakow expects the situation to deteriorate further. Many **[Group 1]** have lost their jobs due to the withdrawal of Western companies and investors. But even those still employed are struggling because of around **15%** inflation, as food and other essential goods keep getting more expensive.

What is the mood like in the big cities?",5633,**YES**,**YES**,**YES**,YES**,**YES**,YES,4,0.8
6357b4ee8a106184c10896a7,Stern,7,CHN,180,"Es zeichne sich aber ab, dass eine Entscheidung über eine vollständige Untersagung einer Beteiligung im Kabinett nicht erreicht werden könne, weil sie nicht vom Kanzleramt auf die Tagesordnung gesetzt werde, hieß es weiter. Entscheide das Kabinett nicht in dieser Woche, sei der Verkauf automatisch so wie von Cosco und dem Hamburger Logistikkonzern HHLA vereinbart genehmigt. Dies gelte es zu verhindern.

Offen ist, wie sich der chinesische Konzern zur neuen Sachlage verhält. Nach dpa-Informationen dürfte die Lösung mit der chinesischen Seite abgestimmt sein. Beim Hamburger Hafenlogistiker HHLA gehe man davon aus, dass die [Gruppe 1] die Kompromisslösung mit einer auf 24,9 Prozent reduzierten Beteiligung mittragen, hieß es am in Unternehmenskreisen. Während der Gespräche mit der Bundesregierung habe es in den vergangenen Tagen auch immer eine Rückkopplung mit dem chinesischen Unternehmen Cosco gegeben.

Nach Informationen der ""Süddeutschen Zeitung"" von Montagabend hatten sich die sechs Ministerien, die den Deal bislang abgelehnt hatten, auf einen Kompromiss geeinigt. Demnach werde die Bundesregierung eine sogenannte Teilversagung beschließen. Mit einer Beteiligung von 24,9 Prozent könnte Cosco als Minderheitsaktionär formal keinen inhaltlichen Einfluss auf die Geschäftsführung ausüben.","It is becoming clear, however, that a decision on a complete ban on participation in the cabinet cannot be reached because it is not being put on the agenda by the Chancellery, it was further stated. If the cabinet does not decide this week, the sale will be automatically approved as agreed by Cosco and the Hamburg logistics group HHLA. This must be prevented.

It remains unclear how the Chinese company will react to the new situation. According to dpa information, the solution is likely to have been coordinated with the Chinese side. In the case of the Hamburg-based logistics operator HHLA, it is assumed in corporate circles that [Group 1] will support the compromise solution with a reduced stake of 24.9 percent, it was said. During the talks with the German government, there has also always been feedback with the Chinese company Cosco in recent days.

According to information from the *Süddeutsche Zeitung* from Monday evening, the six ministries that had previously rejected the deal had agreed on a compromise. Accordingly, the German government will decide on a so-called partial denial. With a stake of 24.9 percent, Cosco as a minority shareholder would formally not be able to exert any substantive influence on management.",1189,**NO**,**NO**,**NO**,**NO**,**YES**,NO,4,0.8
632712b53dd49b919c212713,Merkur,5,AUT,162,"Österreich – Man mag es auf gesellschaftliche Konvention, Abenteuerlust oder Versuch einer zusätzlichen Einnahmequelle sehen, die angesichts der momentan horrenden Preisentwicklungen sicherlich kaum jemandem schaden könnte - doch eines ist gewiss: Lotto ist beliebt wie eh und je. Über 20 Millionen Deutsche füllen immer wieder Zahlenscheine aus, um mit dem richtigen Tipp den Traum vom schnellen Geld zur Realität zu machen. Obwohl die Chancen, sowohl beim Landeslotto, als auch Eurojackpot, verschwindend gering erscheint, knacken doch in regelmäßigen Abständen Spielende den Jackpot. So nun auch ein Mann aus Österreich – doch der Traum vom Gewinn bleibt trotzdem aus.

Lotto: [Gruppe 1] macht Fehler und verliert den Gewinn – trotz richtiger Zahlen

Im österreichischen Spielsystem der Lotterien gibt es Lotto, EuroMillionen, Toto, Bingo, Zahlenlotto und Lucky Day. Alle diese Gewinnspiele können mit dem sogenannten Joker kombiniert werden. Wer auf seinem Schein das „Ja“ zur Teilnahme an dem Extraspiel ankreuzt, kann für 1,50 Euro einen Joker-Tipp abgeben. Mit ein bisschen Glück winken dann bis zu mehreren hunderttausend Euro.","'Austria – Whether it’s for social convention, a thirst for adventure, or an attempt at an extra income stream—something that could hardly hurt anyone given the currently horrendous price hikes—one thing is certain: lottery is as popular as ever. Over 20 million Germans keep filling out number slips, hoping that with the right tip, they can turn the dream of quick money into reality. Although the odds of winning, whether in the national lottery or Eurojackpot, seem vanishingly slim, players still crack the jackpot at regular intervals. So it is now with a man from Austria—yet the dream of winning remains unfulfilled.

**Lottery: [Group 1] makes a mistake and loses the winnings—despite having the right numbers**

In Austria’s lottery system, the games include Lotto, EuroMillions, Toto, Bingo, Zahlenlotto, and Lucky Day. All these prize draws can be combined with the so-called Joker. If players mark the “Yes” box on their slip to participate in the extra game, they can place a Joker tip for just 1.50 euros. With a bit of luck, winnings of up to several hundred thousand euros could be waiting.'",8136,**NO**,**NO**,**NO**,**YES**,**NO**,NO,4,0.8
632712c43dd49b919c26eeaa,Freitag,14,CHN,118,"Siehe Bild bei Wikipedia: Lithographie des Lagers einer Opiumfabrik in Patna, Britisch-Indien, circa 1850

China musste nicht nur die weitere Narkotisierung und regelrechte Verseuchung seiner Gesellschaft dulden, sondern auch Märkte öffnen und Reparationen bezahlen. Die Verluste der [Andere Gruppe] betrugen 69 Tote, auf Seiten der [Gruppe 1] starben 20.000 Soldaten.

Exakt parallel zur letzten Niederkunft von Queen Victoria fand in Ostasien das Gemetzel des zweiten Opiumkrieges statt (1856–60), den die [Andere Gruppe] mit Hilfe ausgefeilter Finessen diplomatischer Gepflogenheiten einläuteten. Peking wurde in der Folge eingenommen, [Gruppe 1] massakriert, der Sommerpalast zerstört, Kunstschätze geplündert und als besondere Beutestücke wurden 5 Pekinesen nach Europa verfrachtet. Sie sind die Stammeltern aller heutigen Hündchen dieser Rasse. (Wikipedia zum zweiten Opiumkrieg)","See image on Wikipedia: Lithograph of an opium factory camp in Patna, British India, circa 1850

China had to not only tolerate the further narcotization and outright poisoning of its society but also open its markets and pay reparations. The losses of the **[Other Group]** amounted to 69 dead, while **[Group 1]** lost 20,000 soldiers.

Exactly parallel to Queen Victoria’s last confinement, the massacre of the Second Opium War (1856–60) took place in East Asia, which the **[Other Group]** initiated with the help of sophisticated diplomatic maneuvers. Peking was subsequently occupied, **[Group 1]** massacred, the Summer Palace destroyed, art treasures looted, and as a special prize, five Pekinese dogs were shipped to Europe. They are the ancestors of all today’s dogs of this breed. (Wikipedia on the Second Opium War)",2761,**NO**,**NO**,**NO**,**YES**,**NO**,NO,4,0.8
